datetime,requests,emissions
2022-06-01 00:00:00,2368,463927.73749863787
2022-06-01 01:00:00,2766,529518.9272690578
2022-06-01 02:00:00,3061,576951.8456305256
2022-06-01 03:00:00,3209,594811.5492851472
2022-06-01 04:00:00,3312,600883.0511318236
2022-06-01 05:00:00,3489,622738.1499324061
2022-06-01 06:00:00,3565,611640.646333217
2022-06-01 07:00:00,3653,627802.5089033606
2022-06-01 08:00:00,3795,655112.2248378472
2022-06-01 09:00:00,3964,667188.0876052688
2022-06-01 10:00:00,4250,707412.4673774517
2022-06-01 11:00:00,4489,741402.7005070557
2022-06-01 12:00:00,4720,767472.7746280617
2022-06-01 13:00:00,4784,766517.6269116963
2022-06-01 14:00:00,4701,744773.8872067939
2022-06-01 15:00:00,4395,697545.8020865029
2022-06-01 16:00:00,3957,632274.0270390757
2022-06-01 17:00:00,3370,550194.4520811056
2022-06-01 18:00:00,2746,444227.28453240544
2022-06-01 19:00:00,2329,379718.49848039175
2022-06-01 20:00:00,2033,332288.68830014725
2022-06-01 21:00:00,1883,318154.1202808679
2022-06-01 22:00:00,1879,342645.7298209534
2022-06-01 23:00:00,2119,420165.8091848839
2022-06-02 00:00:00,2368,463908.82989287627
2022-06-02 01:00:00,2766,536913.2553331314
2022-06-02 02:00:00,3061,583536.2515293537
2022-06-02 03:00:00,3209,608652.876019198
2022-06-02 04:00:00,3312,619225.7677672764
2022-06-02 05:00:00,3489,659779.6966728815
2022-06-02 06:00:00,3565,609938.3633591278
2022-06-02 07:00:00,3653,573706.7137832756
2022-06-02 08:00:00,3795,587077.5423747128
2022-06-02 09:00:00,3964,604067.0584043697
2022-06-02 10:00:00,4250,644048.0758337729
2022-06-02 11:00:00,4489,703841.0002796028
2022-06-02 12:00:00,4720,765373.6359969267
2022-06-02 13:00:00,4784,782590.3357044428
2022-06-02 14:00:00,4701,783043.0307733777
2022-06-02 15:00:00,4395,743365.015446784
2022-06-02 16:00:00,3957,673220.5789069778
2022-06-02 17:00:00,3370,589758.2376224523
2022-06-02 18:00:00,2746,484972.5361751189
2022-06-02 19:00:00,2329,420032.69774103287
2022-06-02 20:00:00,2033,376032.0691472628
2022-06-02 21:00:00,1883,352180.6388206061
2022-06-02 22:00:00,1879,366184.6456755847
2022-06-02 23:00:00,2119,413554.6281740777
2022-06-03 00:00:00,2368,459688.2551211517
2022-06-03 01:00:00,2766,531269.4740531502
2022-06-03 02:00:00,3061,585981.4853859778
2022-06-03 03:00:00,3209,610145.3429962319
2022-06-03 04:00:00,3312,621149.835334311
2022-06-03 05:00:00,3489,642193.6439693208
2022-06-03 06:00:00,3565,633968.8015422322
2022-06-03 07:00:00,3653,652615.2464286141
2022-06-03 08:00:00,3795,682637.9099260576
2022-06-03 09:00:00,3964,707335.0331968813
2022-06-03 10:00:00,4250,757625.4069689183
2022-06-03 11:00:00,4489,791439.2428316169
2022-06-03 12:00:00,4720,827139.7687657978
2022-06-03 13:00:00,4784,828431.8106320971
2022-06-03 14:00:00,4701,837507.5916781677
2022-06-03 15:00:00,4395,792053.6391439763
2022-06-03 16:00:00,3957,713570.7427477652
2022-06-03 17:00:00,3370,609961.3370077526
2022-06-03 18:00:00,2746,497717.5026223393
2022-06-03 19:00:00,2329,434241.6152504103
2022-06-03 20:00:00,2033,390243.482084265
2022-06-03 21:00:00,1883,365512.73178259
2022-06-03 22:00:00,1879,364016.83780636
2022-06-03 23:00:00,2119,413290.294164741
2022-06-04 00:00:00,2368,457477.013994902
2022-06-04 01:00:00,2766,532874.8465035668
2022-06-04 02:00:00,3061,581745.0736189716
2022-06-04 03:00:00,3209,604825.1420788842
2022-06-04 04:00:00,3312,631121.6750951002
2022-06-04 05:00:00,3489,667985.5860969825
2022-06-04 06:00:00,3565,682499.8253023817
2022-06-04 07:00:00,3653,684254.4933985425
2022-06-04 08:00:00,3795,707010.1317194245
2022-06-04 09:00:00,3964,727333.9489115144
2022-06-04 10:00:00,4250,771275.9374338924
2022-06-04 11:00:00,4489,803842.681693704
2022-06-04 12:00:00,4720,857027.5761580705
2022-06-04 13:00:00,4784,869343.849264698
2022-06-04 14:00:00,4701,853694.1704172146
2022-06-04 15:00:00,4395,806385.8240423813
2022-06-04 16:00:00,3957,714787.2035907762
2022-06-04 17:00:00,3370,607217.2418473898
2022-06-04 18:00:00,2746,499999.74847648095
2022-06-04 19:00:00,2329,421826.2241591935
2022-06-04 20:00:00,2033,378654.1043817812
2022-06-04 21:00:00,1883,357394.8790845185
2022-06-04 22:00:00,1879,352358.5390626953
2022-06-04 23:00:00,2119,400493.7696335823
2022-06-05 00:00:00,2368,443942.004086002
2022-06-05 01:00:00,2766,518959.30748762883
2022-06-05 02:00:00,3061,573335.0592700447
2022-06-05 03:00:00,3209,588262.3965646388
2022-06-05 04:00:00,3312,616549.1964521385
2022-06-05 05:00:00,3489,653775.6812273406
2022-06-05 06:00:00,3565,677438.762119168
2022-06-05 07:00:00,3653,699682.9736322358
2022-06-05 08:00:00,3795,720377.3927594415
2022-06-05 09:00:00,3964,744380.9419166838
2022-06-05 10:00:00,4250,781014.8118948198
2022-06-05 11:00:00,4489,826964.9524786313
2022-06-05 12:00:00,4720,877712.8397056697
2022-06-05 13:00:00,4784,893917.7420969213
2022-06-05 14:00:00,4701,868992.6464073104
2022-06-05 15:00:00,4395,823304.7635810612
2022-06-05 16:00:00,3957,740724.7049406026
2022-06-05 17:00:00,3370,637208.521588099
2022-06-05 18:00:00,2746,511209.92041677516
2022-06-05 19:00:00,2329,433296.5890946675
2022-06-05 20:00:00,2033,381382.75270966085
2022-06-05 21:00:00,1883,356888.5410419159
2022-06-05 22:00:00,1879,359780.9203747698
2022-06-05 23:00:00,2119,407063.43663148873
2022-06-06 00:00:00,2368,456159.36802517006
2022-06-06 01:00:00,2766,526718.4909848671
2022-06-06 02:00:00,3061,575080.6158370575
2022-06-06 03:00:00,3209,603890.9068754356
2022-06-06 04:00:00,3312,612251.4371801843
2022-06-06 05:00:00,3489,635176.6461832875
2022-06-06 06:00:00,3565,630959.416036704
2022-06-06 07:00:00,3653,638465.84932369
2022-06-06 08:00:00,3795,667624.7770049032
2022-06-06 09:00:00,3964,695768.682863132
2022-06-06 10:00:00,4250,753688.7069198121
2022-06-06 11:00:00,4489,790271.0640403392
2022-06-06 12:00:00,4720,813043.2557141139
2022-06-06 13:00:00,4784,824196.7590850876
2022-06-06 14:00:00,4701,818335.3091680781
2022-06-06 15:00:00,4395,766794.4997415846
2022-06-06 16:00:00,3957,702357.5235520595
2022-06-06 17:00:00,3370,589631.876868948
2022-06-06 18:00:00,2746,497189.69082207925
2022-06-06 19:00:00,2329,427562.64709238353
2022-06-06 20:00:00,2033,380752.8809576493
2022-06-06 21:00:00,1883,365669.4422606963
2022-06-06 22:00:00,1879,367963.18394159153
2022-06-06 23:00:00,2119,417907.2834558287
2022-06-07 00:00:00,2368,458459.32928319636
2022-06-07 01:00:00,2766,532050.7927884179
2022-06-07 02:00:00,3061,576075.3995958489
2022-06-07 03:00:00,3209,596589.7959067106
2022-06-07 04:00:00,3312,600729.4473944094
2022-06-07 05:00:00,3489,609268.0332840101
2022-06-07 06:00:00,3565,615494.6700642456
2022-06-07 07:00:00,3653,630899.8542262801
2022-06-07 08:00:00,3795,658098.2781289497
2022-06-07 09:00:00,3964,683273.1381523275
2022-06-07 10:00:00,4250,720818.8197564845
2022-06-07 11:00:00,4489,760506.8914399783
2022-06-07 12:00:00,4720,789277.0484633715
2022-06-07 13:00:00,4784,813716.7650299363
2022-06-07 14:00:00,4701,807986.5655339543
2022-06-07 15:00:00,4395,759163.7633042072
2022-06-07 16:00:00,3957,697808.2597776068
2022-06-07 17:00:00,3370,602941.7196453322
2022-06-07 18:00:00,2746,481657.5312667836
2022-06-07 19:00:00,2329,421675.26666363317
2022-06-07 20:00:00,2033,388771.20346164866
2022-06-07 21:00:00,1883,364114.5996732968
2022-06-07 22:00:00,1879,366871.1734014918
2022-06-07 23:00:00,2119,417200.55345355347
2022-06-08 00:00:00,2368,456521.170157989
2022-06-08 01:00:00,2766,522701.1629654017
2022-06-08 02:00:00,3061,564687.6641567497
2022-06-08 03:00:00,3209,582049.9468520948
2022-06-08 04:00:00,3312,595667.1208554123
2022-06-08 05:00:00,3489,604933.3819879378
2022-06-08 06:00:00,3565,604048.5479092014
2022-06-08 07:00:00,3653,628282.5423983237
2022-06-08 08:00:00,3795,660352.5443192422
2022-06-08 09:00:00,3964,694360.9804080692
2022-06-08 10:00:00,4250,747312.8340332804
2022-06-08 11:00:00,4489,767833.6676785634
2022-06-08 12:00:00,4720,790906.7547702916
2022-06-08 13:00:00,4784,796397.4212861279
2022-06-08 14:00:00,4701,773363.5529550969
2022-06-08 15:00:00,4395,726394.8929988056
2022-06-08 16:00:00,3957,681043.8002408254
2022-06-08 17:00:00,3370,588028.9444463812
2022-06-08 18:00:00,2746,482498.6504418398
2022-06-08 19:00:00,2329,418789.3835506898
2022-06-08 20:00:00,2033,374936.54830497777
2022-06-08 21:00:00,1883,347896.18236202345
2022-06-08 22:00:00,1879,365048.0154668139
2022-06-08 23:00:00,2119,415307.1819330482
2022-06-09 00:00:00,2368,459501.24701343453
2022-06-09 01:00:00,2766,529017.1314732766
2022-06-09 02:00:00,3061,576037.2600276306
2022-06-09 03:00:00,3209,598785.2771804848
2022-06-09 04:00:00,3312,589566.621146482
2022-06-09 05:00:00,3489,608286.7495404837
2022-06-09 06:00:00,3565,615984.7127323608
2022-06-09 07:00:00,3653,630159.6245754837
2022-06-09 08:00:00,3795,666095.4514093591
2022-06-09 09:00:00,3964,707940.818132154
2022-06-09 10:00:00,4250,788545.816461318
2022-06-09 11:00:00,4489,835922.1593846744
2022-06-09 12:00:00,4720,848021.3137738586
2022-06-09 13:00:00,4784,841193.1183170442
2022-06-09 14:00:00,4701,831118.1331271705
2022-06-09 15:00:00,4395,780471.5580307659
2022-06-09 16:00:00,3957,702801.9588510647
2022-06-09 17:00:00,3370,624616.2854551548
2022-06-09 18:00:00,2746,503402.6665852682
2022-06-09 19:00:00,2329,431410.48414570495
2022-06-09 20:00:00,2033,379388.59570805245
2022-06-09 21:00:00,1883,361800.3599136643
2022-06-09 22:00:00,1879,362785.3597367985
2022-06-09 23:00:00,2119,413196.84438365407
2022-06-10 00:00:00,2368,462852.39374670776
2022-06-10 01:00:00,2766,533969.5405166763
2022-06-10 02:00:00,3061,576990.6413368817
2022-06-10 03:00:00,3209,594423.6777372789
2022-06-10 04:00:00,3312,600687.4554209907
2022-06-10 05:00:00,3489,620064.9427860121
2022-06-10 06:00:00,3565,621637.785800661
2022-06-10 07:00:00,3653,642309.9847873877
2022-06-10 08:00:00,3795,671922.3918366916
2022-06-10 09:00:00,3964,696513.2888712067
2022-06-10 10:00:00,4250,741661.0260682955
2022-06-10 11:00:00,4489,795313.7157240636
2022-06-10 12:00:00,4720,845764.2718241649
2022-06-10 13:00:00,4784,860919.4774244297
2022-06-10 14:00:00,4701,845283.1359087037
2022-06-10 15:00:00,4395,780449.1926104267
2022-06-10 16:00:00,3957,721047.7805553075
2022-06-10 17:00:00,3370,605480.588228496
2022-06-10 18:00:00,2746,497769.57120663824
2022-06-10 19:00:00,2329,434265.763140205
2022-06-10 20:00:00,2033,384502.52165292494
2022-06-10 21:00:00,1883,360291.08615098015
2022-06-10 22:00:00,1879,367196.7684156457
2022-06-10 23:00:00,2119,415411.6521516441
2022-06-11 00:00:00,2368,465318.6905875305
2022-06-11 01:00:00,2766,541232.1409827737
2022-06-11 02:00:00,3061,588002.3759540085
2022-06-11 03:00:00,3209,609043.2429644463
2022-06-11 04:00:00,3312,623064.140204494
2022-06-11 05:00:00,3489,648594.7136514267
2022-06-11 06:00:00,3565,642905.9330581498
2022-06-11 07:00:00,3653,646610.8204424194
2022-06-11 08:00:00,3795,663622.0422054083
2022-06-11 09:00:00,3964,703007.7872456525
2022-06-11 10:00:00,4250,741330.8056636547
2022-06-11 11:00:00,4489,782687.6916980891
2022-06-11 12:00:00,4720,830612.0475518905
2022-06-11 13:00:00,4784,853020.3300065548
2022-06-11 14:00:00,4701,851637.7295622891
2022-06-11 15:00:00,4395,823769.3096411006
2022-06-11 16:00:00,3957,742963.7389522452
2022-06-11 17:00:00,3370,640150.7888132995
2022-06-11 18:00:00,2746,523512.37637826527
2022-06-11 19:00:00,2329,448849.1031279702
2022-06-11 20:00:00,2033,394020.7090273851
2022-06-11 21:00:00,1883,366504.4946107749
2022-06-11 22:00:00,1879,369774.5892204236
2022-06-11 23:00:00,2119,415853.71545797354
2022-06-12 00:00:00,2368,461236.55532805284
2022-06-12 01:00:00,2766,535393.9062956346
2022-06-12 02:00:00,3061,589845.7747016429
2022-06-12 03:00:00,3209,616612.1558904576
2022-06-12 04:00:00,3312,630097.7269710813
2022-06-12 05:00:00,3489,663112.7845822437
