datetime,requests,emissions
2022-01-01 00:00:00,2368,900986.7167470235
2022-01-01 01:00:00,2766,1035439.0863550762
2022-01-01 02:00:00,3061,1139188.461001927
2022-01-01 03:00:00,3209,1195532.6319251002
2022-01-01 04:00:00,3312,1247660.0751214942
2022-01-01 05:00:00,3489,1328139.5377921655
2022-01-01 06:00:00,3565,1344137.7851202416
2022-01-01 07:00:00,3653,1372220.3306133223
2022-01-01 08:00:00,3795,1417152.025925959
2022-01-01 09:00:00,3964,1526458.193635114
2022-01-01 10:00:00,4250,1646985.5294052365
2022-01-01 11:00:00,4489,1730172.7016858638
2022-01-01 12:00:00,4720,1817423.9316955253
2022-01-01 13:00:00,4784,1824084.4751029639
2022-01-01 14:00:00,4701,1745521.9445028533
2022-01-01 15:00:00,4395,1702743.955255261
2022-01-01 16:00:00,3957,1532920.7957365804
2022-01-01 17:00:00,3370,1292631.4101841464
2022-01-01 18:00:00,2746,1055988.0591035457
2022-01-01 19:00:00,2329,894214.1460620221
2022-01-01 20:00:00,2033,635938.5778224994
2022-01-01 21:00:00,1883,588461.036393761
2022-01-01 22:00:00,1879,594674.8793220489
2022-01-01 23:00:00,2119,670005.1488196289
2022-01-02 00:00:00,2368,884778.2845700205
2022-01-02 01:00:00,2766,1038254.0132489313
2022-01-02 02:00:00,3061,1143308.4915585208
2022-01-02 03:00:00,3209,1189949.2307014142
2022-01-02 04:00:00,3312,1238255.055925651
2022-01-02 05:00:00,3489,1306262.5468288767
2022-01-02 06:00:00,3565,1347356.22557643
2022-01-02 07:00:00,3653,1373719.3696272783
2022-01-02 08:00:00,3795,1412729.265815197
2022-01-02 09:00:00,3964,1510191.5890599124
2022-01-02 10:00:00,4250,1611198.1786231147
2022-01-02 11:00:00,4489,1703646.4820514456
2022-01-02 12:00:00,4720,1807507.0479214047
2022-01-02 13:00:00,4784,1770922.2567711622
2022-01-02 14:00:00,4701,1762343.649010975
2022-01-02 15:00:00,4395,1639620.58369168
2022-01-02 16:00:00,3957,1352290.6242737917
2022-01-02 17:00:00,3370,1177850.079060797
2022-01-02 18:00:00,2746,902782.3488515312
2022-01-02 19:00:00,2329,844745.8421871451
2022-01-02 20:00:00,2033,783502.2220226219
2022-01-02 21:00:00,1883,579003.1302151314
2022-01-02 22:00:00,1879,485677.3684353659
2022-01-02 23:00:00,2119,452165.65285690886
2022-01-03 00:00:00,2368,504560.33839389664
2022-01-03 01:00:00,2766,592632.9251329952
2022-01-03 02:00:00,3061,656742.931679782
2022-01-03 03:00:00,3209,683281.9064501157
2022-01-03 04:00:00,3312,747291.3081935156
2022-01-03 05:00:00,3489,1051928.2094781816
2022-01-03 06:00:00,3565,1066064.529705573
2022-01-03 07:00:00,3653,1087163.0717194753
2022-01-03 08:00:00,3795,1414847.207276689
2022-01-03 09:00:00,3964,1498349.5009291656
2022-01-03 10:00:00,4250,1598083.1260947734
2022-01-03 11:00:00,4489,1688688.641535371
2022-01-03 12:00:00,4720,1779848.239270146
2022-01-03 13:00:00,4784,1792988.1110565923
2022-01-03 14:00:00,4701,1767667.949979142
2022-01-03 15:00:00,4395,1649864.6051339982
2022-01-03 16:00:00,3957,1475438.7023368792
2022-01-03 17:00:00,3370,1279632.0787075262
2022-01-03 18:00:00,2746,1046973.3071028386
2022-01-03 19:00:00,2329,867568.5449794955
2022-01-03 20:00:00,2033,787573.4035224894
2022-01-03 21:00:00,1883,616958.3876901545
2022-01-03 22:00:00,1879,634492.5891564314
2022-01-03 23:00:00,2119,819463.2861582539
2022-01-04 00:00:00,2368,875644.0362208701
2022-01-04 01:00:00,2766,1031988.5308077699
2022-01-04 02:00:00,3061,1141348.9648303846
2022-01-04 03:00:00,3209,1072803.1521969035
2022-01-04 04:00:00,3312,978448.1961745853
2022-01-04 05:00:00,3489,1031712.0372005876
2022-01-04 06:00:00,3565,1062787.5721501813
