datetime,requests,emissions
2022-01-01 00:00:00,2368,960022.8056960802
2022-01-01 01:00:00,2766,1088925.086399562
2022-01-01 02:00:00,3061,1141515.5636317735
2022-01-01 03:00:00,3209,1065268.0549098954
2022-01-01 04:00:00,3312,1329369.5764066405
2022-01-01 05:00:00,3489,1413842.001012366
2022-01-01 06:00:00,3565,1393443.0601060316
2022-01-01 07:00:00,3653,1422613.287547837
2022-01-01 08:00:00,3795,1471097.2398188945
2022-01-01 09:00:00,3964,1321447.6066942753
2022-01-01 10:00:00,4250,1700345.2869662088
2022-01-01 11:00:00,4489,1814707.5739402361
2022-01-01 12:00:00,4720,1701952.5836695163
2022-01-01 13:00:00,4784,1585840.2011581608
2022-01-01 14:00:00,4701,1483067.6136587535
2022-01-01 15:00:00,4395,1731668.6964725961
2022-01-01 16:00:00,3957,1259119.379937819
2022-01-01 17:00:00,3370,1059915.7178284235
2022-01-01 18:00:00,2746,863274.0115441837
2022-01-01 19:00:00,2329,906799.5292748406
2022-01-01 20:00:00,2033,524381.5303770883
2022-01-01 21:00:00,1883,624485.3451182516
2022-01-01 22:00:00,1879,608505.3201023866
2022-01-01 23:00:00,2119,673574.8773069006
2022-01-02 00:00:00,2368,714392.3320042238
2022-01-02 01:00:00,2766,860614.9207403992
2022-01-02 02:00:00,3061,949783.4099249097
2022-01-02 03:00:00,3209,1014967.5425948197
2022-01-02 04:00:00,3312,1056455.2043537316
2022-01-02 05:00:00,3489,1113077.081022032
2022-01-02 06:00:00,3565,1395466.5197995394
2022-01-02 07:00:00,3653,1421903.2164359633
2022-01-02 08:00:00,3795,1465372.8964879897
2022-01-02 09:00:00,3964,1588079.5152459806
2022-01-02 10:00:00,4250,1610860.3876882906
2022-01-02 11:00:00,4489,1453846.2781504346
2022-01-02 12:00:00,4720,1571230.766222657
2022-01-02 13:00:00,4784,1502928.9625704072
2022-01-02 14:00:00,4701,1513112.7536759155
2022-01-02 15:00:00,4395,1646341.0856967557
2022-01-02 16:00:00,3957,1286778.4710883975
2022-01-02 17:00:00,3370,1209322.1439688934
2022-01-02 18:00:00,2746,925959.7501933101
2022-01-02 19:00:00,2329,899538.0345752378
2022-01-02 20:00:00,2033,742028.1579202741
2022-01-02 21:00:00,1883,692447.5749653076
2022-01-02 22:00:00,1879,739553.6186441005
2022-01-02 23:00:00,2119,536398.4376448041
2022-01-03 00:00:00,2368,534823.0336070516
2022-01-03 01:00:00,2766,625143.1796135932
2022-01-03 02:00:00,3061,692530.0770776543
2022-01-03 03:00:00,3209,725914.2513397837
2022-01-03 04:00:00,3312,789489.428257062
2022-01-03 05:00:00,3489,1361783.925657315
2022-01-03 06:00:00,3565,1386457.9663695388
2022-01-03 07:00:00,3653,1410598.8843349318
2022-01-03 08:00:00,3795,1477529.749335066
2022-01-03 09:00:00,3964,1575196.3644224212
2022-01-03 10:00:00,4250,1517145.7738211644
2022-01-03 11:00:00,4489,1721970.5139814876
2022-01-03 12:00:00,4720,1825041.0103165589
2022-01-03 13:00:00,4784,1842719.974010125
2022-01-03 14:00:00,4701,1816122.7424134735
2022-01-03 15:00:00,4395,1713523.3375130564
2022-01-03 16:00:00,3957,1529864.6548266858
2022-01-03 17:00:00,3370,1380214.58719726
2022-01-03 18:00:00,2746,1121233.5123475706
2022-01-03 19:00:00,2329,904463.5372143699
2022-01-03 20:00:00,2033,822501.611389833
2022-01-03 21:00:00,1883,755300.1929604416
2022-01-03 22:00:00,1879,751299.7537642273
2022-01-03 23:00:00,2119,845449.0808326019
2022-01-04 00:00:00,2368,917178.7825882959
2022-01-04 01:00:00,2766,1084881.9146640757
2022-01-04 02:00:00,3061,1199396.9685244116
2022-01-04 03:00:00,3209,821924.3561951466
2022-01-04 04:00:00,3312,834812.0641141218
2022-01-04 05:00:00,3489,1075125.4148304132
2022-01-04 06:00:00,3565,1116423.1124770246
2022-01-04 07:00:00,3653,931812.1350206452
2022-01-04 08:00:00,3795,1209960.959001851
2022-01-04 09:00:00,3964,1286866.5176415627
2022-01-04 10:00:00,4250,1382290.576644951
2022-01-04 11:00:00,4489,1467737.6405379325
2022-01-04 12:00:00,4720,1532439.9293216655
2022-01-04 13:00:00,4784,1540795.109220175
2022-01-04 14:00:00,4701,1534422.1413036592
2022-01-04 15:00:00,4395,1439360.9741752227
2022-01-04 16:00:00,3957,1294808.5298095332
2022-01-04 17:00:00,3370,1121596.308346604
2022-01-04 18:00:00,2746,915198.9830682556
2022-01-04 19:00:00,2329,776219.3839410876
2022-01-04 20:00:00,2033,538339.1142336235
2022-01-04 21:00:00,1883,615115.2832694545
2022-01-04 22:00:00,1879,592493.1757097759
2022-01-04 23:00:00,2119,856323.02392376
2022-01-05 00:00:00,2368,925464.0470483315
2022-01-05 01:00:00,2766,1090043.4104966116
2022-01-05 02:00:00,3061,1192256.9925919315
2022-01-05 03:00:00,3209,1250152.378448939
2022-01-05 04:00:00,3312,1299008.5606819394
2022-01-05 05:00:00,3489,1140720.2174403733
2022-01-05 06:00:00,3565,1169005.3458822903
2022-01-05 07:00:00,3653,1233024.3006775244
2022-01-05 08:00:00,3795,1267204.392310898
2022-01-05 09:00:00,3964,1332543.1432887283
2022-01-05 10:00:00,4250,1445504.9829664645
2022-01-05 11:00:00,4489,1536496.3940639903
2022-01-05 12:00:00,4720,1627416.9263886146
2022-01-05 13:00:00,4784,1638510.5976768953
2022-01-05 14:00:00,4701,1619038.320305764
2022-01-05 15:00:00,4395,1813169.0375620555
2022-01-05 16:00:00,3957,1624317.8359526882
2022-01-05 17:00:00,3370,1386136.3431263634
2022-01-05 18:00:00,2746,942485.2139925007
2022-01-05 19:00:00,2329,919366.8043908611
2022-01-05 20:00:00,2033,837945.0535504614
2022-01-05 21:00:00,1883,650809.3626247157
2022-01-05 22:00:00,1879,655606.7375492635
2022-01-05 23:00:00,2119,822267.8112428144
2022-01-06 00:00:00,2368,751896.962459985
2022-01-06 01:00:00,2766,885562.1505976552
2022-01-06 02:00:00,3061,1097152.5131712975
2022-01-06 03:00:00,3209,1139121.9817217132
2022-01-06 04:00:00,3312,979896.001852005
2022-01-06 05:00:00,3489,1036468.4281806228
2022-01-06 06:00:00,3565,955377.8957745499
2022-01-06 07:00:00,3653,1030199.5882818833
2022-01-06 08:00:00,3795,1531379.8863397106
2022-01-06 09:00:00,3964,1602935.2059085541
2022-01-06 10:00:00,4250,1445339.7597403235
2022-01-06 11:00:00,4489,1530772.3150902474
2022-01-06 12:00:00,4720,1615232.8603042918
2022-01-06 13:00:00,4784,1593874.6684237306
2022-01-06 14:00:00,4701,1543669.611406265
2022-01-06 15:00:00,4395,1436627.2101135217
2022-01-06 16:00:00,3957,1113747.6272276035
2022-01-06 17:00:00,3370,1105612.8078299982
2022-01-06 18:00:00,2746,780668.0432766532
2022-01-06 19:00:00,2329,941712.6509228054
2022-01-06 20:00:00,2033,839225.4208124992
2022-01-06 21:00:00,1883,769545.6151149408
2022-01-06 22:00:00,1879,759758.7242052143
2022-01-06 23:00:00,2119,850968.4307349322
2022-01-07 00:00:00,2368,926200.5150003346
2022-01-07 01:00:00,2766,1088753.0365384775
2022-01-07 02:00:00,3061,1198730.5707707133
2022-01-07 03:00:00,3209,1261829.2830935102
2022-01-07 04:00:00,3312,1298004.2522737433
2022-01-07 05:00:00,3489,1355029.1258848251
2022-01-07 06:00:00,3565,1408383.3994868635
2022-01-07 07:00:00,3653,1458514.4829641778
2022-01-07 08:00:00,3795,1526570.2576647748
2022-01-07 09:00:00,3964,1448738.06818064
2022-01-07 10:00:00,4250,1726153.1548894197
2022-01-07 11:00:00,4489,1834323.0153014767
2022-01-07 12:00:00,4720,1933119.5483235777
2022-01-07 13:00:00,4784,1952635.9497960433
2022-01-07 14:00:00,4701,1933379.201263906
2022-01-07 15:00:00,4395,1839652.3769097836
2022-01-07 16:00:00,3957,1655392.0095478876
2022-01-07 17:00:00,3370,1459057.7889258948
2022-01-07 18:00:00,2746,1184773.2801336062
2022-01-07 19:00:00,2329,952704.4895329272
2022-01-07 20:00:00,2033,717400.8468800908
2022-01-07 21:00:00,1883,672946.1337424987
2022-01-07 22:00:00,1879,665775.0336234032
2022-01-07 23:00:00,2119,855828.7537832528
2022-01-08 00:00:00,2368,831914.2054451292
2022-01-08 01:00:00,2766,950510.9731570629
2022-01-08 02:00:00,3061,759122.252607918
2022-01-08 03:00:00,3209,892185.389270173
2022-01-08 04:00:00,3312,907457.0389736476
2022-01-08 05:00:00,3489,991409.3019874287
2022-01-08 06:00:00,3565,1193591.7670897075
2022-01-08 07:00:00,3653,1455020.9330937588
2022-01-08 08:00:00,3795,1496620.7294128768
2022-01-08 09:00:00,3964,1394739.790087635
2022-01-08 10:00:00,4250,1484960.2893689147
2022-01-08 11:00:00,4489,1612654.5667512277
2022-01-08 12:00:00,4720,1842693.226541135
2022-01-08 13:00:00,4784,1359461.6466291929
2022-01-08 14:00:00,4701,1373596.5743018189
2022-01-08 15:00:00,4395,985761.1722374936
2022-01-08 16:00:00,3957,1485622.4155891642
2022-01-08 17:00:00,3370,1209295.94150903
2022-01-08 18:00:00,2746,981877.3079324319
2022-01-08 19:00:00,2329,835415.9579385967
2022-01-08 20:00:00,2033,728165.416083149
2022-01-08 21:00:00,1883,763513.6377997778
2022-01-08 22:00:00,1879,747705.7870483676
2022-01-08 23:00:00,2119,850045.7931393186
2022-01-09 00:00:00,2368,974255.0488685414
2022-01-09 01:00:00,2766,1145228.4034394727
2022-01-09 02:00:00,3061,983484.0963262154
2022-01-09 03:00:00,3209,1235181.9878789757
2022-01-09 04:00:00,3312,1142490.957989207
2022-01-09 05:00:00,3489,1051605.6903213828
2022-01-09 06:00:00,3565,1216930.8501298942
2022-01-09 07:00:00,3653,1125405.9229619268
2022-01-09 08:00:00,3795,1171424.9157535958
2022-01-09 09:00:00,3964,1397667.778911171
2022-01-09 10:00:00,4250,926968.4100458225
2022-01-09 11:00:00,4489,1071624.3949708126
2022-01-09 12:00:00,4720,1464656.8869790633
2022-01-09 13:00:00,4784,1222578.1302528204
2022-01-09 14:00:00,4701,1909511.225070224
2022-01-09 15:00:00,4395,1203813.028208915
2022-01-09 16:00:00,3957,1214077.2114790347
2022-01-09 17:00:00,3370,931576.0694180368
2022-01-09 18:00:00,2746,753659.3718219036
2022-01-09 19:00:00,2329,823265.1775310322
2022-01-09 20:00:00,2033,681092.1604492173
2022-01-09 21:00:00,1883,639887.3842822118
2022-01-09 22:00:00,1879,646417.2860684678
2022-01-09 23:00:00,2119,722491.1455457625
2022-01-10 00:00:00,2368,826869.3999739076
2022-01-10 01:00:00,2766,912810.5473469166
2022-01-10 02:00:00,3061,1195874.5803977214
2022-01-10 03:00:00,3209,1252422.8876853834
2022-01-10 04:00:00,3312,1207590.7440384384
2022-01-10 05:00:00,3489,1293313.585794809
2022-01-10 06:00:00,3565,1433579.630464927
2022-01-10 07:00:00,3653,1478652.0996969198
2022-01-10 08:00:00,3795,1425332.0000960433
2022-01-10 09:00:00,3964,1614708.803072668
2022-01-10 10:00:00,4250,1739205.7897545516
2022-01-10 11:00:00,4489,1545152.3183657476
2022-01-10 12:00:00,4720,1948166.1359578315
2022-01-10 13:00:00,4784,1959703.305261128
2022-01-10 14:00:00,4701,1931917.1506547984
2022-01-10 15:00:00,4395,1604275.291197332
2022-01-10 16:00:00,3957,1574599.158200369
2022-01-10 17:00:00,3370,1342273.4253152185
2022-01-10 18:00:00,2746,1192822.5047489742
2022-01-10 19:00:00,2329,853959.026697682
2022-01-10 20:00:00,2033,739167.0903347328
2022-01-10 21:00:00,1883,689094.849710035
2022-01-10 22:00:00,1879,736719.3522096421
2022-01-10 23:00:00,2119,858959.1313397986
2022-01-11 00:00:00,2368,882712.0824345476
2022-01-11 01:00:00,2766,1097140.4672663482
2022-01-11 02:00:00,3061,1016589.7847331477
2022-01-11 03:00:00,3209,1060527.4312294072
2022-01-11 04:00:00,3312,1301995.734408882
2022-01-11 05:00:00,3489,1207047.4682184348
2022-01-11 06:00:00,3565,1023011.3430644015
2022-01-11 07:00:00,3653,1051672.1387049481
2022-01-11 08:00:00,3795,1335335.880718418
2022-01-11 09:00:00,3964,1611811.6351841164
2022-01-11 10:00:00,4250,1511065.5590991785
2022-01-11 11:00:00,4489,1589409.22165054
