datetime,requests,emissions
2022-01-01 00:00:00,2368,930082.0349297761
2022-01-01 01:00:00,2766,1059473.2770844146
2022-01-01 02:00:00,3061,1139211.2971081126
2022-01-01 03:00:00,3209,1060305.1418933615
2022-01-01 04:00:00,3312,1279552.1318571432
2022-01-01 05:00:00,3489,1360210.516449925
2022-01-01 06:00:00,3565,1357857.382030281
2022-01-01 07:00:00,3653,1387646.8016954644
2022-01-01 08:00:00,3795,1434095.5542352856
2022-01-01 09:00:00,3964,1338889.4513701152
2022-01-01 10:00:00,4250,1670647.160067747
2022-01-01 11:00:00,4489,1759050.1042367984
2022-01-01 12:00:00,4720,1703076.9036839795
2022-01-01 13:00:00,4784,1605638.9371704138
2022-01-01 14:00:00,4701,1509849.7188557899
2022-01-01 15:00:00,4395,1698841.7786582073
2022-01-01 16:00:00,3957,1279131.5926329738
2022-01-01 17:00:00,3370,1074398.5301121487
2022-01-01 18:00:00,2746,877414.0154275899
2022-01-01 19:00:00,2329,891242.7102079379
2022-01-01 20:00:00,2033,447741.9930024362
2022-01-01 21:00:00,1883,526608.1274474454
2022-01-01 22:00:00,1879,506891.4224337368
2022-01-01 23:00:00,2119,557463.3316109133
2022-01-02 00:00:00,2368,734913.0062765368
2022-01-02 01:00:00,2766,881055.616027706
2022-01-02 02:00:00,3061,972761.1490894395
2022-01-02 03:00:00,3209,1014019.4161402301
2022-01-02 04:00:00,3312,1054528.5222901783
2022-01-02 05:00:00,3489,1113602.3701010197
2022-01-02 06:00:00,3565,1361065.1830138867
2022-01-02 07:00:00,3653,1388873.2881614284
2022-01-02 08:00:00,3795,1429100.836671019
2022-01-02 09:00:00,3964,1535863.2449534622
2022-01-02 10:00:00,4250,1590967.5082466274
2022-01-02 11:00:00,4489,1476485.5782674397
2022-01-02 12:00:00,4720,1590751.291162902
2022-01-02 13:00:00,4784,1527191.2915079768
2022-01-02 14:00:00,4701,1538133.7524574357
2022-01-02 15:00:00,4395,1635390.4934761142
2022-01-02 16:00:00,3957,1306552.9425814287
2022-01-02 17:00:00,3370,1206463.6919067334
2022-01-02 18:00:00,2746,932694.9332646523
2022-01-02 19:00:00,2329,865688.3728191525
2022-01-02 20:00:00,2033,727242.8612046047
2022-01-02 21:00:00,1883,555892.2326743251
2022-01-02 22:00:00,1879,530157.9076253223
2022-01-02 23:00:00,2119,401684.36120609177
2022-01-03 00:00:00,2368,439631.20229326707
2022-01-03 01:00:00,2766,516233.6611582624
2022-01-03 02:00:00,3061,571989.9727411949
2022-01-03 03:00:00,3209,595293.0554163734
2022-01-03 04:00:00,3312,648916.6828671395
2022-01-03 05:00:00,3489,1113133.8005658707
2022-01-03 06:00:00,3565,1130199.267447507
2022-01-03 07:00:00,3653,1151033.0326817108
2022-01-03 08:00:00,3795,1432515.592556793
2022-01-03 09:00:00,3964,1522181.5517234837
2022-01-03 10:00:00,4250,1518365.418621653
2022-01-03 11:00:00,4489,1705033.075163074
2022-01-03 12:00:00,4720,1796449.1538214213
2022-01-03 13:00:00,4784,1813740.4312741274
2022-01-03 14:00:00,4701,1786818.5925397647
2022-01-03 15:00:00,4395,1667735.8928061484
2022-01-03 16:00:00,3957,1492444.186999444
2022-01-03 17:00:00,3370,1315537.3861921856
2022-01-03 18:00:00,2746,1071800.751864652
2022-01-03 19:00:00,2329,878793.9632302922
2022-01-03 20:00:00,2033,794080.6188835056
2022-01-03 21:00:00,1883,641291.5619931269
2022-01-03 22:00:00,1879,653657.0166574476
2022-01-03 23:00:00,2119,822293.2728946673
2022-01-04 00:00:00,2368,891029.1479840082
2022-01-04 01:00:00,2766,1053864.0605906476
2022-01-04 02:00:00,3061,1164822.1744150117
2022-01-04 03:00:00,3209,772980.2502768574
2022-01-04 04:00:00,3312,685701.5267319111
2022-01-04 05:00:00,3489,887002.1429029758
2022-01-04 06:00:00,3565,913409.3741076963
2022-01-04 07:00:00,3653,981434.4841682243
2022-01-04 08:00:00,3795,1214175.0818902897
2022-01-04 09:00:00,3964,1275644.8927817326
2022-01-04 10:00:00,4250,1369108.7642432663
2022-01-04 11:00:00,4489,1451225.3827519373
2022-01-04 12:00:00,4720,1517346.6301587215
2022-01-04 13:00:00,4784,1536700.0970428174
2022-01-04 14:00:00,4701,1529863.1979890973
2022-01-04 15:00:00,4395,1436419.068035337
2022-01-04 16:00:00,3957,1286837.2045370939
2022-01-04 17:00:00,3370,1120019.3947759394
2022-01-04 18:00:00,2746,912522.3768557976
2022-01-04 19:00:00,2329,776076.1615353458
2022-01-04 20:00:00,2033,564435.0388846349
2022-01-04 21:00:00,1883,614865.0594351916
2022-01-04 22:00:00,1879,584791.2486663014
2022-01-04 23:00:00,2119,832509.6869201204
2022-01-05 00:00:00,2368,898216.4056792391
2022-01-05 01:00:00,2766,1057430.1849840358
2022-01-05 02:00:00,3061,1158285.850993187
2022-01-05 03:00:00,3209,1214030.6388779227
2022-01-05 04:00:00,3312,1052660.368188219
2022-01-05 05:00:00,3489,935827.0884654989
2022-01-05 06:00:00,3565,1173624.2747927385
2022-01-05 07:00:00,3653,1219520.0369411344
2022-01-05 08:00:00,3795,1246589.7795522634
2022-01-05 09:00:00,3964,1307373.6443967798
2022-01-05 10:00:00,4250,1442338.7021275763
2022-01-05 11:00:00,4489,1506448.149081771
2022-01-05 12:00:00,4720,1598548.1593006516
2022-01-05 13:00:00,4784,1616946.7059145488
2022-01-05 14:00:00,4701,1596722.1077751308
2022-01-05 15:00:00,4395,1733430.1071388645
2022-01-05 16:00:00,3957,1550900.5531686312
2022-01-05 17:00:00,3370,1323140.8636361507
2022-01-05 18:00:00,2746,925946.1621077595
2022-01-05 19:00:00,2329,891805.7188652185
2022-01-05 20:00:00,2033,690766.0457393223
2022-01-05 21:00:00,1883,645084.8398722566
2022-01-05 22:00:00,1879,545853.9529497976
2022-01-05 23:00:00,2119,813528.2157363397
2022-01-06 00:00:00,2368,763630.2350322603
2022-01-06 01:00:00,2766,898700.5023491584
2022-01-06 02:00:00,3061,1095389.153915249
2022-01-06 03:00:00,3209,1136930.8592016175
2022-01-06 04:00:00,3312,1006490.2739540798
2022-01-06 05:00:00,3489,1063559.1437471092
2022-01-06 06:00:00,3565,997530.3640807633
2022-01-06 07:00:00,3653,1063314.7206359736
2022-01-06 08:00:00,3795,1463859.9935978528
2022-01-06 09:00:00,3964,1529155.488739543
2022-01-06 10:00:00,4250,1428526.040422196
2022-01-06 11:00:00,4489,1506448.149081771
2022-01-06 12:00:00,4720,1590624.5128191987
2022-01-06 13:00:00,4784,1613991.2663564228
2022-01-06 14:00:00,4701,1530368.270017698
2022-01-06 15:00:00,4395,1420718.5639809773
2022-01-06 16:00:00,3957,1156745.218735121
2022-01-06 17:00:00,3370,1093135.6709562056
2022-01-06 18:00:00,2746,810626.9959459889
2022-01-06 19:00:00,2329,904535.9701715044
2022-01-06 20:00:00,2033,810462.4222361775
2022-01-06 21:00:00,1883,743634.1991720406
2022-01-06 22:00:00,1879,630668.1142609895
2022-01-06 23:00:00,2119,704647.992724128
2022-01-07 00:00:00,2368,897707.5732760368
2022-01-07 01:00:00,2766,1054458.414656212
2022-01-07 02:00:00,3061,1166589.859365568
2022-01-07 03:00:00,3209,1223425.693081072
2022-01-07 04:00:00,3312,1254020.6924636983
2022-01-07 05:00:00,3489,1315930.695378347
2022-01-07 06:00:00,3565,1359580.9765886362
2022-01-07 07:00:00,3653,1399715.4285205489
2022-01-07 08:00:00,3795,1460700.0702408678
2022-01-07 09:00:00,3964,1409853.2532205482
2022-01-07 10:00:00,4250,1647017.2346709392
