datetime,requests,emissions
2022-01-01 00:00:00,2368,944403.546451023
2022-01-01 01:00:00,2766,1073100.0816012716
2022-01-01 02:00:00,3061,1146285.4618311164
2022-01-01 03:00:00,3209,1085997.8847819949
2022-01-01 04:00:00,3312,1299197.4022012905
2022-01-01 05:00:00,3489,1380441.0050578176
2022-01-01 06:00:00,3565,1369212.358024508
2022-01-01 07:00:00,3653,1399772.6633803002
2022-01-01 08:00:00,3795,1447270.3947052043
2022-01-01 09:00:00,3964,1358879.628226834
2022-01-01 10:00:00,4250,1682528.7111421716
2022-01-01 11:00:00,4489,1778306.7312230829
2022-01-01 12:00:00,4720,1720714.9387894939
2022-01-01 13:00:00,4784,1631793.5044326242
2022-01-01 14:00:00,4701,1539880.4579432458
2022-01-01 15:00:00,4395,1721374.3612529817
2022-01-01 16:00:00,3957,1312004.4401988778
2022-01-01 17:00:00,3370,1107252.6422142452
2022-01-01 18:00:00,2746,903413.379056397
2022-01-01 19:00:00,2329,903962.534950231
2022-01-01 20:00:00,2033,474951.71295710356
2022-01-01 21:00:00,1883,545266.839547272
2022-01-01 22:00:00,1879,528055.0073512704
2022-01-01 23:00:00,2119,583919.7645645437
2022-01-02 00:00:00,2368,752817.5459703323
2022-01-02 01:00:00,2766,899777.7684191439
2022-01-02 02:00:00,3061,992575.6632913565
2022-01-02 03:00:00,3209,1042621.1781055272
2022-01-02 04:00:00,3312,1081916.9948545503
2022-01-02 05:00:00,3489,1142657.584954218
2022-01-02 06:00:00,3565,1372021.1787862724
2022-01-02 07:00:00,3653,1400222.375084487
2022-01-02 08:00:00,3795,1441103.447508508
2022-01-02 09:00:00,3964,1553688.484619445
2022-01-02 10:00:00,4250,1602791.982206567
2022-01-02 11:00:00,4489,1501936.680406989
2022-01-02 12:00:00,4720,1616936.29960641
2022-01-02 13:00:00,4784,1558410.7968534974
2022-01-02 14:00:00,4701,1562103.6272016815
2022-01-02 15:00:00,4395,1655581.7728347122
2022-01-02 16:00:00,3957,1331830.8910579272
2022-01-02 17:00:00,3370,1231755.813792982
2022-01-02 18:00:00,2746,955710.2091004981
2022-01-02 19:00:00,2329,879648.9018247118
2022-01-02 20:00:00,2033,741297.0829668902
2022-01-02 21:00:00,1883,572527.8632386158
2022-01-02 22:00:00,1879,549081.9040821692
2022-01-02 23:00:00,2119,435905.07909921475
2022-01-03 00:00:00,2368,477915.53980281693
2022-01-03 01:00:00,2766,560794.7374313083
2022-01-03 02:00:00,3061,621169.9818969287
2022-01-03 03:00:00,3209,647371.6787448159
2022-01-03 04:00:00,3312,700035.1605123527
2022-01-03 05:00:00,3489,1137159.70240847
2022-01-03 06:00:00,3565,1155171.4384131858
2022-01-03 07:00:00,3653,1175816.2346952944
2022-01-03 08:00:00,3795,1445822.0964999194
2022-01-03 09:00:00,3964,1538609.3421782332
2022-01-03 10:00:00,4250,1532263.6944078824
2022-01-03 11:00:00,4489,1711935.919179466
2022-01-03 12:00:00,4720,1805957.5276369648
2022-01-03 13:00:00,4784,1824555.6247428027
2022-01-03 14:00:00,4701,1797009.4710037443
2022-01-03 15:00:00,4395,1681444.319926762
2022-01-03 16:00:00,3957,1505982.1486036305
2022-01-03 17:00:00,3370,1339622.6068968521
2022-01-03 18:00:00,2746,1089545.4709909933
2022-01-03 19:00:00,2329,887132.2252277312
2022-01-03 20:00:00,2033,806194.0519985927
2022-01-03 21:00:00,1883,654310.9343126476
2022-01-03 22:00:00,1879,665620.4142364792
2022-01-03 23:00:00,2119,833463.0287805003
2022-01-04 00:00:00,2368,902687.2398947435
2022-01-04 01:00:00,2766,1067004.856835142
2022-01-04 02:00:00,3061,1179107.5345273975
2022-01-04 03:00:00,3209,811278.7424976988
2022-01-04 04:00:00,3312,734488.5184046393
2022-01-04 05:00:00,3489,929313.9708547639
2022-01-04 06:00:00,3565,956666.8086403721
2022-01-04 07:00:00,3653,1020665.6967508624
2022-01-04 08:00:00,3795,1242873.4705722781
2022-01-04 09:00:00,3964,1307786.2232561267
2022-01-04 10:00:00,4250,1404182.6495034466
2022-01-04 11:00:00,4489,1488563.0446746366
2022-01-04 12:00:00,4720,1556447.182366998
2022-01-04 13:00:00,4784,1575961.3962584576
2022-01-04 14:00:00,4701,1566617.7084573014
2022-01-04 15:00:00,4395,1471838.6558376374
2022-01-04 16:00:00,3957,1319652.4814393462
2022-01-04 17:00:00,3370,1153344.9526520914
2022-01-04 18:00:00,2746,938604.7171791567
2022-01-04 19:00:00,2329,796930.9400710291
2022-01-04 20:00:00,2033,586625.5563120808
2022-01-04 21:00:00,1883,632196.1242773228
2022-01-04 22:00:00,1879,597843.9484262115
2022-01-04 23:00:00,2119,842201.99945919
2022-01-05 00:00:00,2368,909392.1668744391
2022-01-05 01:00:00,2766,1070069.49498571
2022-01-05 02:00:00,3061,1172889.805486196
2022-01-05 03:00:00,3209,1229204.2251300788
2022-01-05 04:00:00,3312,1079348.282964356
2022-01-05 05:00:00,3489,974327.8841980753
2022-01-05 06:00:00,3565,1195197.1342683274
2022-01-05 07:00:00,3653,1245071.8371400551
2022-01-05 08:00:00,3795,1277445.7503113332
2022-01-05 09:00:00,3964,1339310.9029228666
2022-01-05 10:00:00,4250,1482872.9646734917
2022-01-05 11:00:00,4489,1540510.2247920388
2022-01-05 12:00:00,4720,1632508.9061579588
2022-01-05 13:00:00,4784,1650521.9964150982
2022-01-05 14:00:00,4701,1630277.828728863
2022-01-05 15:00:00,4395,1760601.0278674925
2022-01-05 16:00:00,3957,1577104.0607761417
2022-01-05 17:00:00,3370,1347007.3335016556
2022-01-05 18:00:00,2746,945839.0556597239
2022-01-05 19:00:00,2329,899145.6831046091
2022-01-05 20:00:00,2033,712615.2755969209
2022-01-05 21:00:00,1883,660917.5599521315
2022-01-05 22:00:00,1879,561873.8445576223
2022-01-05 23:00:00,2119,821332.8157488863
2022-01-06 00:00:00,2368,780016.2280227493
2022-01-06 01:00:00,2766,917041.8966673441
2022-01-06 02:00:00,3061,1109092.1372028391
2022-01-06 03:00:00,3209,1153156.720255579
2022-01-06 04:00:00,3312,1033559.9741915303
2022-01-06 05:00:00,3489,1092403.5023094905
2022-01-06 06:00:00,3565,1033382.7256960605
2022-01-06 07:00:00,3653,1096532.0612471686
2022-01-06 08:00:00,3795,1487869.4637501214
2022-01-06 09:00:00,3964,1554469.2816390547
2022-01-06 10:00:00,4250,1458543.8446242425
2022-01-06 11:00:00,4489,1539294.4397254616
2022-01-06 12:00:00,4720,1624896.9231047765
2022-01-06 13:00:00,4784,1638743.0706399574
2022-01-06 14:00:00,4701,1568296.0207190062
2022-01-06 15:00:00,4395,1456147.989191833
2022-01-06 16:00:00,3957,1191779.1804442494
2022-01-06 17:00:00,3370,1121814.6592832678
2022-01-06 18:00:00,2746,833605.3932509226
2022-01-06 19:00:00,2329,921997.0576341362
2022-01-06 20:00:00,2033,822562.2038484706
2022-01-06 21:00:00,1883,754685.2817476129
2022-01-06 22:00:00,1879,647508.136854418
2022-01-06 23:00:00,2119,723925.9007810439
2022-01-07 00:00:00,2368,908517.6111814353
2022-01-07 01:00:00,2766,1067345.372185205
2022-01-07 02:00:00,3061,1180275.713923017
2022-01-07 03:00:00,3209,1238053.389333657
2022-01-07 04:00:00,3312,1270900.798204549
2022-01-07 05:00:00,3489,1330229.8746204788
2022-01-07 06:00:00,3565,1374347.2334796085
2022-01-07 07:00:00,3653,1420549.3441137287
2022-01-07 08:00:00,3795,1484178.6392914925
2022-01-07 09:00:00,3964,1432274.5480701423
2022-01-07 10:00:00,4250,1674314.3630825323
2022-01-07 11:00:00,4489,1773940.9575749184
2022-01-07 12:00:00,4720,1874814.0155607914
2022-01-07 13:00:00,4784,1889634.1896504555
2022-01-07 14:00:00,4701,1871028.8290285876
2022-01-07 15:00:00,4395,1782243.3266892915
2022-01-07 16:00:00,3957,1606332.2438607353
2022-01-07 17:00:00,3370,1411478.4859952768
2022-01-07 18:00:00,2746,1149144.250155667
2022-01-07 19:00:00,2329,928190.1528642213
2022-01-07 20:00:00,2033,728182.5392828903
2022-01-07 21:00:00,1883,680853.3425835564
2022-01-07 22:00:00,1879,676793.1217403562
2022-01-07 23:00:00,2119,842723.7290519476
2022-01-08 00:00:00,2368,841089.3672508454
2022-01-08 01:00:00,2766,972307.5379825883
2022-01-08 02:00:00,3061,779401.7651939258
2022-01-08 03:00:00,3209,959462.7377102951
2022-01-08 04:00:00,3312,979617.024497453
2022-01-08 05:00:00,3489,1052457.9494380404
2022-01-08 06:00:00,3565,1217360.4855916237
2022-01-08 07:00:00,3653,1426890.2791427618
2022-01-08 08:00:00,3795,1457315.0435483083
2022-01-08 09:00:00,3964,1401725.8646779142
2022-01-08 10:00:00,4250,1494749.760912588
2022-01-08 11:00:00,4489,1617380.9987742796
2022-01-08 12:00:00,4720,1814266.7915805154
2022-01-08 13:00:00,4784,1448748.9978869373
2022-01-08 14:00:00,4701,1454749.5152891842
2022-01-08 15:00:00,4395,1125129.0287124151
2022-01-08 16:00:00,3957,1493608.8844311524
2022-01-08 17:00:00,3370,1227441.1420688268
2022-01-08 18:00:00,2746,1000772.7006640318
2022-01-08 19:00:00,2329,844870.0846298359
2022-01-08 20:00:00,2033,734889.977655623
2022-01-08 21:00:00,1883,750721.3063639225
2022-01-08 22:00:00,1879,647855.1153483272
2022-01-08 23:00:00,2119,837297.7412872686
2022-01-09 00:00:00,2368,951953.8772672889
2022-01-09 01:00:00,2766,938392.2091163016
2022-01-09 02:00:00,3061,844066.1472224201
2022-01-09 03:00:00,3209,1023382.1470022124
2022-01-09 04:00:00,3312,963022.3302227067
2022-01-09 05:00:00,3489,912734.4188027426
2022-01-09 06:00:00,3565,1239567.7247393231
2022-01-09 07:00:00,3653,1175501.4365023635
2022-01-09 08:00:00,3795,1223811.9974188532
2022-01-09 09:00:00,3964,1412949.821834803
2022-01-09 10:00:00,4250,1057558.0896619891
2022-01-09 11:00:00,4489,1192408.8550478728
2022-01-09 12:00:00,4720,1527916.7726027793
2022-01-09 13:00:00,4784,1335965.7835899647
2022-01-09 14:00:00,4701,1858644.0419939384
2022-01-09 15:00:00,4395,1300648.0721572062
2022-01-09 16:00:00,3957,1283214.6798605532
2022-01-09 17:00:00,3370,1011168.2218955668
2022-01-09 18:00:00,2746,821469.283369971
2022-01-09 19:00:00,2329,833458.7332336605
2022-01-09 20:00:00,2033,702228.7572212338
2022-01-09 21:00:00,1883,554794.2891536856
2022-01-09 22:00:00,1879,557663.8388315239
2022-01-09 23:00:00,2119,627405.9261208891
2022-01-10 00:00:00,2368,837241.3222016287
2022-01-10 01:00:00,2766,939209.4459564532
2022-01-10 02:00:00,3061,1178956.8017021562
2022-01-10 03:00:00,3209,1232483.1565090832
2022-01-10 04:00:00,3312,1212472.7960037834
2022-01-10 05:00:00,3489,1290928.6048598585
2022-01-10 06:00:00,3565,1389137.4303032737
2022-01-10 07:00:00,3653,1438852.6104741297
2022-01-10 08:00:00,3795,1404849.2730794451
2022-01-10 09:00:00,3964,1564766.042335157
2022-01-10 10:00:00,4250,1687917.7420348008
2022-01-10 11:00:00,4489,1552060.182924525
2022-01-10 12:00:00,4720,1885854.2963249492
2022-01-10 13:00:00,4784,1896996.0182599183
2022-01-10 14:00:00,4701,1871896.9215777451
2022-01-10 15:00:00,4395,1596714.7200394184
2022-01-10 16:00:00,3957,1541884.1001592064
2022-01-10 17:00:00,3370,1313734.5765519233
2022-01-10 18:00:00,2746,1153910.800276041
2022-01-10 19:00:00,2329,855966.0469170716
2022-01-10 20:00:00,2033,745476.7180722874
2022-01-10 21:00:00,1883,693255.2538717103
2022-01-10 22:00:00,1879,731338.1409828855
2022-01-10 23:00:00,2119,844419.3502284099
2022-01-11 00:00:00,2368,746637.3524064391
2022-01-11 01:00:00,2766,906928.5907704693
2022-01-11 02:00:00,3061,1044088.606317552
2022-01-11 03:00:00,3209,1089158.3005689871
2022-01-11 04:00:00,3312,1274774.252642143
2022-01-11 05:00:00,3489,1221131.2678532926
2022-01-11 06:00:00,3565,1086267.5541011544
2022-01-11 07:00:00,3653,1118028.2807072958
2022-01-11 08:00:00,3795,1333602.345238825
2022-01-11 09:00:00,3964,1561496.4548155416
2022-01-11 10:00:00,4250,1505213.8985681792
2022-01-11 11:00:00,4489,1585439.0092978347
2022-01-11 12:00:00,4720,1659005.5799919378
2022-01-11 13:00:00,4784,1888456.2970729414
2022-01-11 14:00:00,4701,1875658.6559574285
2022-01-11 15:00:00,4395,1586434.6280990639
2022-01-11 16:00:00,3957,1244584.7645504153
2022-01-11 17:00:00,3370,1361237.452745743
2022-01-11 18:00:00,2746,1045294.3071075231
2022-01-11 19:00:00,2329,876437.667260964
2022-01-11 20:00:00,2033,764597.9229856002
2022-01-11 21:00:00,1883,605491.4480082511
2022-01-11 22:00:00,1879,584427.4466617217
2022-01-11 23:00:00,2119,765194.7115681693
2022-01-12 00:00:00,2368,861699.7297493006
2022-01-12 01:00:00,2766,969311.0029020332
2022-01-12 02:00:00,3061,1186606.4925831493
2022-01-12 03:00:00,3209,1124515.4521859626
2022-01-12 04:00:00,3312,1146175.5653140105
2022-01-12 05:00:00,3489,1337617.6542913273
2022-01-12 06:00:00,3565,1190457.24923285
2022-01-12 07:00:00,3653,1235582.9201817147
2022-01-12 08:00:00,3795,1284126.6097744207
2022-01-12 09:00:00,3964,1329941.3386875507
2022-01-12 10:00:00,4250,1440440.88648007
2022-01-12 11:00:00,4489,1527799.7445505469
2022-01-12 12:00:00,4720,1607813.5412907638
2022-01-12 13:00:00,4784,1678084.6827289276
2022-01-12 14:00:00,4701,1660834.6864592128
2022-01-12 15:00:00,4395,1794417.1197765537
2022-01-12 16:00:00,3957,1614857.1305937418
2022-01-12 17:00:00,3370,1186285.8117768888
2022-01-12 18:00:00,2746,918659.5783775925
2022-01-12 19:00:00,2329,817029.8278316294
