datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,8.0,754.777088,6038.216704
2022-01-01 00:30:00,11.0,763.848928,8402.338208
2022-01-01 01:00:00,13.0,780.17824,10142.31712
2022-01-01 01:30:00,15.0,780.17824,11702.6736
2022-01-01 02:00:00,17.0,817.372784,13895.337328
2022-01-01 02:30:00,19.0,817.372784,15530.082896
2022-01-01 03:00:00,21.0,784.260568,16469.471928
2022-01-01 03:30:00,21.0,827.351808,17374.387968
2022-01-01 04:00:00,22.0,794.693184,17483.250047999998
2022-01-01 04:30:00,27.0,794.693184,21456.715968
2022-01-01 05:00:00,32.0,795.146776,25444.696832
2022-01-01 05:30:00,36.0,828.712584,29833.653024
2022-01-01 06:00:00,36.0,875.886152,31531.901472
2022-01-01 06:30:00,41.0,837.784424,34349.161384
2022-01-01 07:00:00,40.0,835.970056,33438.80224
2022-01-01 07:30:00,42.0,840.052384,35282.200128
2022-01-01 08:00:00,45.0,830.980544,37394.12448
2022-01-01 08:30:00,48.0,737.087,35380.176
2022-01-01 09:00:00,52.0,803.311432,41772.194464
2022-01-01 09:30:00,59.0,737.087,43488.133
2022-01-01 10:00:00,61.0,771.1064,47037.4904
2022-01-01 10:30:00,60.0,875.886152,52553.169120000006
2022-01-01 11:00:00,63.0,837.784424,52780.418712
2022-01-01 11:30:00,62.0,837.784424,51942.634287999994
2022-01-01 12:00:00,64.0,837.784424,53618.203136
2022-01-01 12:30:00,63.0,837.330832,52751.842416
2022-01-01 13:00:00,61.0,815.558416,49749.063376
2022-01-01 13:30:00,61.0,815.558416,49749.063376
2022-01-01 14:00:00,61.0,804.218616,49057.335576
2022-01-01 14:30:00,61.0,831.887728,50745.151408000005
2022-01-01 15:00:00,59.0,875.886152,51677.282968
2022-01-01 15:30:00,58.0,875.886152,50801.396816
2022-01-01 16:00:00,56.0,875.886152,49049.624512
2022-01-01 16:30:00,56.0,821.908704,46026.887424
2022-01-01 17:00:00,55.0,821.908704,45204.97872
2022-01-01 17:30:00,54.0,821.908704,44383.070016
2022-01-01 18:00:00,52.0,821.908704,42739.252607999995
2022-01-01 18:30:00,51.0,821.908704,41917.343903999994
2022-01-01 19:00:00,51.0,812.383272,41431.546872
2022-01-01 19:30:00,51.0,821.908704,41917.343903999994
2022-01-01 20:00:00,50.0,789.703672,39485.1836
2022-01-01 20:30:00,48.0,783.353384,37600.962432
2022-01-01 21:00:00,47.0,781.085424,36711.014928
2022-01-01 21:30:00,47.0,781.992608,36753.652576
2022-01-01 22:00:00,45.0,781.992608,35189.66736
2022-01-01 22:30:00,43.0,781.992608,33625.682144
2022-01-01 23:00:00,41.0,781.992608,32061.696928
2022-01-01 23:30:00,39.0,781.992608,30497.711712
2022-01-02 00:00:00,41.0,764.756112,31355.000592
2022-01-02 00:30:00,44.0,764.756112,33649.268928000005
2022-01-02 01:00:00,49.0,780.17824,38228.733759999996
2022-01-02 01:30:00,51.0,775.188728,39534.625128
2022-01-02 02:00:00,56.0,826.898216,46306.300096000006
2022-01-02 02:30:00,61.0,824.630256,50302.445616000005
2022-01-02 03:00:00,64.0,825.083848,52805.366272
2022-01-02 03:30:00,65.0,824.630256,53600.96664
2022-01-02 04:00:00,73.0,794.239592,57979.490216
2022-01-02 04:30:00,71.0,834.1556879999999,59225.053847999996
2022-01-02 05:00:00,72.0,875.886152,63063.802944
2022-01-02 05:30:00,76.0,832.34132,63257.94032
2022-01-02 06:00:00,82.0,792.425224,64978.868367999996
2022-01-02 06:30:00,84.0,801.043472,67287.651648
2022-01-02 07:00:00,87.0,779.271056,67796.58187200001
2022-01-02 07:30:00,87.0,797.414736,69375.08203199999
2022-01-02 08:00:00,90.0,754.777088,67929.93792000001
2022-01-02 08:30:00,92.0,781.539016,71901.58947199999
2022-01-02 09:00:00,91.0,781.539016,71120.050456
2022-01-02 09:30:00,89.0,781.539016,69556.97242399999
2022-01-02 10:00:00,92.0,781.539016,71901.58947199999
2022-01-02 10:30:00,94.0,781.539016,73464.667504
2022-01-02 11:00:00,93.0,879.061296,81752.700528
2022-01-02 11:30:00,94.0,875.886152,82333.298288
2022-01-02 12:00:00,99.0,835.062872,82671.224328
2022-01-02 12:30:00,98.0,835.062872,81836.161456
2022-01-02 13:00:00,96.0,837.784424,80427.304704
2022-01-02 13:30:00,96.0,806.940168,77466.256128
2022-01-02 14:00:00,93.0,815.558416,75846.932688
2022-01-02 14:30:00,93.0,836.423648,77787.39926399999
2022-01-02 15:00:00,93.0,836.423648,77787.39926399999
2022-01-02 15:30:00,93.0,806.486576,75003.251568
2022-01-02 16:00:00,92.0,875.886152,80581.525984
2022-01-02 16:30:00,88.0,875.886152,77077.98137600001
2022-01-02 17:00:00,88.0,796.507552,70092.66457600001
2022-01-02 17:30:00,87.0,802.4042479999999,69809.169576
2022-01-02 18:00:00,86.0,802.4042479999999,69006.765328
2022-01-02 18:30:00,84.0,875.886152,73574.436768
2022-01-02 19:00:00,84.0,847.309856,71174.027904
2022-01-02 19:30:00,84.0,846.4026719999999,71097.824448
2022-01-02 20:00:00,82.0,836.423648,68586.73913599999
2022-01-02 20:30:00,79.0,789.25008,62350.75632
2022-01-02 21:00:00,76.0,827.8054,62913.210399999996
2022-01-02 21:30:00,72.0,827.8054,59601.9888
2022-01-02 22:00:00,72.0,377.388544,27171.975168
2022-01-02 22:30:00,70.0,723.47924,50643.546800000004
2022-01-02 23:00:00,67.0,697.624496,46740.841232
2022-01-02 23:30:00,63.0,723.025648,45550.615824
2022-01-03 00:00:00,66.0,426.830072,28170.784752
2022-01-03 00:30:00,64.0,443.612976,28391.230464
2022-01-03 01:00:00,64.0,818.2799679999999,52369.917951999996
2022-01-03 01:30:00,65.0,875.886152,56932.59988
2022-01-03 02:00:00,76.0,788.342896,59914.060096
2022-01-03 02:30:00,73.0,832.34132,60760.91636
2022-01-03 03:00:00,78.0,832.34132,64922.62296
2022-01-03 03:30:00,86.0,810.115312,69669.916832
2022-01-03 04:00:00,82.0,835.062872,68475.155504
2022-01-03 04:30:00,87.0,824.176664,71703.36976799999
2022-01-03 05:00:00,91.0,816.919192,74339.646472
2022-01-03 05:30:00,92.0,828.258992,76199.827264
2022-01-03 06:00:00,95.0,826.444624,78512.23928
2022-01-03 06:30:00,98.0,819.187152,80280.340896
2022-01-03 07:00:00,99.0,819.187152,81099.528048
2022-01-03 07:30:00,101.0,805.1258,81317.7058
2022-01-03 08:00:00,101.0,801.950656,80997.016256
2022-01-03 08:30:00,102.0,804.672208,82076.56521599999
2022-01-03 09:00:00,103.0,815.104824,83955.796872
2022-01-03 09:30:00,103.0,737.087,75919.961
