datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,8.0,566.99,4535.92
2022-01-01 00:30:00,11.0,566.082816,6226.910976
2022-01-01 01:00:00,13.0,570.1651439999999,7412.146871999999
2022-01-01 01:30:00,14.0,597.380664,8363.329296
2022-01-01 02:00:00,17.0,592.844744,10078.360648
2022-01-01 02:30:00,19.0,592.844744,11264.050136
2022-01-01 03:00:00,18.0,608.266872,10948.803696
2022-01-01 03:30:00,21.0,608.266872,12773.604312000001
2022-01-01 04:00:00,20.0,608.266872,12165.337440000001
2022-01-01 04:30:00,25.0,608.266872,15206.6718
2022-01-01 05:00:00,29.0,608.266872,17639.739288
2022-01-01 05:30:00,36.0,608.266872,21897.607392
2022-01-01 06:00:00,38.0,608.266872,23114.141136000002
2022-01-01 06:30:00,41.0,594.659112,24381.023592
2022-01-01 07:00:00,41.0,594.659112,24381.023592
2022-01-01 07:30:00,42.0,594.659112,24975.682704000003
2022-01-01 08:00:00,44.0,594.659112,26165.000928
2022-01-01 08:30:00,47.0,594.659112,27948.978264
2022-01-01 09:00:00,50.0,594.659112,29732.9556
2022-01-01 09:30:00,58.0,594.659112,34490.228496
2022-01-01 10:00:00,59.0,594.659112,35084.887608000005
2022-01-01 10:30:00,61.0,594.659112,36274.205832
2022-01-01 11:00:00,63.0,594.659112,37463.524056
2022-01-01 11:30:00,63.0,594.659112,37463.524056
2022-01-01 12:00:00,64.0,594.659112,38058.183168
2022-01-01 12:30:00,64.0,594.659112,38058.183168
2022-01-01 13:00:00,63.0,594.659112,37463.524056
2022-01-01 13:30:00,61.0,608.266872,37104.279192
2022-01-01 14:00:00,61.0,608.266872,37104.279192
2022-01-01 14:30:00,60.0,608.266872,36496.01232
2022-01-01 15:00:00,59.0,608.266872,35887.745448
2022-01-01 15:30:00,58.0,608.266872,35279.478576
2022-01-01 16:00:00,56.0,608.266872,34062.944832
2022-01-01 16:30:00,56.0,608.266872,34062.944832
2022-01-01 17:00:00,55.0,608.266872,33454.67796
2022-01-01 17:30:00,52.0,608.266872,31629.877344
2022-01-01 18:00:00,52.0,608.266872,31629.877344
2022-01-01 18:30:00,51.0,608.266872,31021.610472
2022-01-01 19:00:00,51.0,608.266872,31021.610472
2022-01-01 19:30:00,51.0,608.266872,31021.610472
2022-01-01 20:00:00,50.0,594.20552,29710.275999999998
2022-01-01 20:30:00,48.0,592.844744,28456.547712
2022-01-01 21:00:00,47.0,597.380664,28076.891208
2022-01-01 21:30:00,47.0,572.886696,26925.674712
2022-01-01 22:00:00,45.0,575.608248,25902.37116
2022-01-01 22:30:00,43.0,566.99,24380.57
2022-01-01 23:00:00,41.0,566.99,23246.59
2022-01-01 23:30:00,40.0,566.99,22679.6
2022-01-02 00:00:00,42.0,566.99,23813.58
2022-01-02 00:30:00,43.0,566.99,24380.57
2022-01-02 01:00:00,47.0,566.082816,26605.892352
2022-01-02 01:30:00,51.0,566.082816,28870.223616
2022-01-02 02:00:00,54.0,575.608248,31082.845392
2022-01-02 02:30:00,62.0,570.1651439999999,35350.238928
2022-01-02 03:00:00,63.0,572.886696,36091.861848
2022-01-02 03:30:00,63.0,597.380664,37634.981832000005
2022-01-02 04:00:00,68.0,592.844744,40313.442592
2022-01-02 04:30:00,71.0,594.20552,42188.59192
2022-01-02 05:00:00,74.0,594.20552,43971.20848
2022-01-02 05:30:00,76.0,608.266872,46228.282272000004
2022-01-02 06:00:00,78.0,608.266872,47444.816016000004
2022-01-02 06:30:00,82.0,608.266872,49877.883504000005
2022-01-02 07:00:00,84.0,608.266872,51094.417248000005
2022-01-02 07:30:00,86.0,608.266872,52310.950992000005
2022-01-02 08:00:00,89.0,594.659112,52924.660968000004
2022-01-02 08:30:00,91.0,594.659112,54113.979192000006
2022-01-02 09:00:00,90.0,594.659112,53519.320080000005
2022-01-02 09:30:00,88.0,594.659112,52330.001856
2022-01-02 10:00:00,88.0,594.659112,52330.001856
2022-01-02 10:30:00,89.0,594.659112,52924.660968000004
2022-01-02 11:00:00,93.0,608.266872,56568.81909600001
2022-01-02 11:30:00,94.0,608.266872,57177.08596800001
2022-01-02 12:00:00,99.0,608.266872,60218.420328
2022-01-02 12:30:00,98.0,594.20552,58232.14096
2022-01-02 13:00:00,98.0,594.20552,58232.14096
2022-01-02 13:30:00,95.0,592.844744,56320.25068
2022-01-02 14:00:00,93.0,592.844744,55134.561192
2022-01-02 14:30:00,93.0,597.380664,55556.401752000005
2022-01-02 15:00:00,93.0,597.380664,55556.401752000005
2022-01-02 15:30:00,93.0,597.380664,55556.401752000005
2022-01-02 16:00:00,92.0,597.380664,54959.021088
2022-01-02 16:30:00,89.0,597.380664,53166.879096000004
2022-01-02 17:00:00,88.0,572.886696,50414.029248000006
2022-01-02 17:30:00,87.0,572.886696,49841.142552000005
2022-01-02 18:00:00,86.0,572.886696,49268.255856
2022-01-02 18:30:00,85.0,572.886696,48695.36916
2022-01-02 19:00:00,84.0,572.886696,48122.482464
2022-01-02 19:30:00,84.0,570.1651439999999,47893.87209599999
2022-01-02 20:00:00,83.0,570.1651439999999,47323.70695199999
2022-01-02 20:30:00,80.0,575.608248,46048.65984
2022-01-02 21:00:00,79.0,566.082816,44720.542464
2022-01-02 21:30:00,75.0,562.907672,42218.0754
2022-01-02 22:00:00,72.0,561.093304,40398.717888
2022-01-02 22:30:00,70.0,561.546896,39308.282719999996
2022-01-02 23:00:00,66.0,572.433104,37780.584864
2022-01-02 23:30:00,63.0,561.546896,35377.454448
2022-01-03 00:00:00,64.0,561.546896,35939.001344
2022-01-03 00:30:00,64.0,561.546896,35939.001344
2022-01-03 01:00:00,63.0,561.093304,35348.878152
2022-01-03 01:30:00,69.0,561.093304,38715.437976
2022-01-03 02:00:00,73.0,562.907672,41092.26005600001
2022-01-03 02:30:00,77.0,566.99,43658.23
2022-01-03 03:00:00,79.0,575.608248,45473.051592
2022-01-03 03:30:00,79.0,570.1651439999999,45043.046376
2022-01-03 04:00:00,83.0,570.1651439999999,47323.70695199999
