datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,3.0,371.038256,1113.114768
2022-01-01 00:30:00,10.0,371.038256,3710.38256
2022-01-01 01:00:00,12.0,376.934952,4523.219424
2022-01-01 01:30:00,14.0,376.934952,5277.089328
2022-01-01 02:00:00,15.0,378.74932,5681.2398
2022-01-01 02:30:00,19.0,371.94544,7066.963360000001
2022-01-01 03:00:00,19.0,371.94544,7066.963360000001
2022-01-01 03:30:00,21.0,371.94544,7810.854240000001
2022-01-01 04:00:00,20.0,371.94544,7438.9088
2022-01-01 04:30:00,28.0,374.2134,10477.975199999999
2022-01-01 05:00:00,30.0,374.2134,11226.402
2022-01-01 05:30:00,36.0,375.120584,13504.341024000001
2022-01-01 06:00:00,36.0,375.120584,13504.341024000001
2022-01-01 06:30:00,40.0,375.120584,15004.82336
2022-01-01 07:00:00,41.0,375.120584,15379.943944
2022-01-01 07:30:00,43.0,375.120584,16130.185112000001
2022-01-01 08:00:00,44.0,375.574176,16525.263744
2022-01-01 08:30:00,47.0,371.94544,17481.435680000002
2022-01-01 09:00:00,49.0,377.388544,18492.038656
2022-01-01 09:30:00,55.0,375.120584,20631.632120000002
2022-01-01 10:00:00,58.0,382.378056,22177.927248
2022-01-01 10:30:00,60.0,382.378056,22942.683360000003
2022-01-01 11:00:00,62.0,380.110096,23566.825952
2022-01-01 11:30:00,62.0,380.110096,23566.825952
2022-01-01 12:00:00,64.0,381.01728,24385.10592
2022-01-01 12:30:00,63.0,374.666992,23604.020496
2022-01-01 13:00:00,62.0,374.2134,23201.230799999998
2022-01-01 13:30:00,61.0,371.94544,22688.671840000003
2022-01-01 14:00:00,61.0,369.67748,22550.32628
2022-01-01 14:30:00,61.0,370.584664,22605.664504
2022-01-01 15:00:00,60.0,369.223888,22153.433279999997
2022-01-01 15:30:00,59.0,369.67748,21810.97132
2022-01-01 16:00:00,58.0,370.131072,21467.602176
2022-01-01 16:30:00,56.0,366.502336,20524.130816
2022-01-01 17:00:00,56.0,362.8736,20320.9216
2022-01-01 17:30:00,55.0,361.966416,19908.152879999998
2022-01-01 18:00:00,52.0,367.863112,19128.881824
2022-01-01 18:30:00,52.0,368.316704,19152.468608
2022-01-01 19:00:00,51.0,366.955928,18714.752328
2022-01-01 19:30:00,51.0,369.223888,18830.418288
2022-01-01 20:00:00,51.0,367.863112,18761.018712
2022-01-01 20:30:00,49.0,367.40952,18003.066479999998
2022-01-01 21:00:00,48.0,370.131072,17766.291456
2022-01-01 21:30:00,47.0,370.131072,17396.160384000003
2022-01-01 22:00:00,46.0,368.770296,16963.433616
2022-01-01 22:30:00,43.0,372.852624,16032.662832
2022-01-01 23:00:00,42.0,366.502336,15393.098112
2022-01-01 23:30:00,40.0,369.223888,14768.95552
2022-01-02 00:00:00,38.0,376.934952,14323.528176
2022-01-02 00:30:00,41.0,376.934952,15454.333032
2022-01-02 01:00:00,44.0,376.934952,16585.137888
2022-01-02 01:30:00,51.0,376.934952,19223.682552000002
2022-01-02 02:00:00,51.0,376.934952,19223.682552000002
2022-01-02 02:30:00,61.0,370.131072,22577.995392
2022-01-02 03:00:00,63.0,370.131072,23318.257536
2022-01-02 03:30:00,69.0,370.131072,25539.043968
2022-01-02 04:00:00,71.0,370.131072,26279.306112000002
2022-01-02 04:30:00,72.0,372.852624,26845.388928
2022-01-02 05:00:00,73.0,372.852624,27218.241552
2022-01-02 05:30:00,76.0,373.306216,28371.272416
2022-01-02 06:00:00,80.0,373.306216,29864.49728
2022-01-02 06:30:00,82.0,374.2134,30685.498799999998
2022-01-02 07:00:00,85.0,373.759808,31769.583680000003
2022-01-02 07:30:00,86.0,373.759808,32143.343488000002
2022-01-02 08:00:00,87.0,371.491848,32319.790776
2022-01-02 08:30:00,89.0,376.934952,33547.210728
2022-01-02 09:00:00,89.0,376.027768,33466.471352
2022-01-02 09:30:00,90.0,374.2134,33679.206
2022-01-02 10:00:00,91.0,370.131072,33681.927552
2022-01-02 10:30:00,91.0,370.131072,33681.927552
2022-01-02 11:00:00,93.0,372.852624,34675.294032
2022-01-02 11:30:00,95.0,373.759808,35507.18176
2022-01-02 12:00:00,99.0,376.48136,37271.65464
2022-01-02 12:30:00,98.0,373.759808,36628.461184
2022-01-02 13:00:00,98.0,364.234376,35694.968848
2022-01-02 13:30:00,96.0,367.40952,35271.31392
2022-01-02 14:00:00,93.0,371.94544,34590.92592
2022-01-02 14:30:00,93.0,371.038256,34506.557808
2022-01-02 15:00:00,93.0,371.491848,34548.741864
2022-01-02 15:30:00,93.0,371.94544,34590.92592
2022-01-02 16:00:00,93.0,373.759808,34759.662144
2022-01-02 16:30:00,92.0,370.131072,34052.058624000005
2022-01-02 17:00:00,88.0,369.223888,32491.702144
2022-01-02 17:30:00,88.0,371.038256,32651.366528
2022-01-02 18:00:00,86.0,371.038256,31909.290016
2022-01-02 18:30:00,85.0,371.038256,31538.25176
2022-01-02 19:00:00,84.0,367.40952,30862.39968
2022-01-02 19:30:00,84.0,371.94544,31243.416960000002
2022-01-02 20:00:00,84.0,368.770296,30976.704864
2022-01-02 20:30:00,82.0,368.316704,30201.969728
2022-01-02 21:00:00,78.0,371.491848,28976.364144
2022-01-02 21:30:00,75.0,371.491848,27861.888600000002
2022-01-02 22:00:00,70.0,373.759808,26163.186560000002
2022-01-02 22:30:00,70.0,373.306216,26131.435120000002
2022-01-02 23:00:00,67.0,356.06972,23856.67124
2022-01-02 23:30:00,63.0,365.595152,23032.494575999997
2022-01-03 00:00:00,63.0,370.131072,23318.257536
2022-01-03 00:30:00,64.0,370.131072,23688.388608
2022-01-03 01:00:00,60.0,376.027768,22561.66608
2022-01-03 01:30:00,65.0,376.027768,24441.80492
2022-01-03 02:00:00,69.0,376.027768,25945.915992
2022-01-03 02:30:00,79.0,369.223888,29168.687152
2022-01-03 03:00:00,83.0,369.223888,30645.582704
2022-01-03 03:30:00,86.0,369.223888,31753.254367999998
2022-01-03 04:00:00,84.0,369.67748,31052.90832
2022-01-03 04:30:00,83.0,372.399032,30909.119656
2022-01-03 05:00:00,91.0,371.038256,33764.481296
2022-01-03 05:30:00,92.0,371.94544,34218.98048
2022-01-03 06:00:00,96.0,369.67748,35489.03808
2022-01-03 06:30:00,98.0,370.584664,36317.297072
2022-01-03 07:00:00,104.0,365.595152,38021.895808
2022-01-03 07:30:00,101.0,366.502336,37016.735936000005
2022-01-03 08:00:00,101.0,367.863112,37154.174312
2022-01-03 08:30:00,100.0,369.67748,36967.748
2022-01-03 09:00:00,99.0,378.74932,37496.18268
2022-01-03 09:30:00,101.0,381.924464,38574.370864
2022-01-03 10:00:00,99.0,375.120584,37136.937816
2022-01-03 10:30:00,104.0,375.120584,39012.540736
2022-01-03 11:00:00,106.0,375.120584,39762.781904
2022-01-03 11:30:00,106.0,375.120584,39762.781904
2022-01-03 12:00:00,104.0,375.120584,39012.540736
2022-01-03 12:30:00,102.0,372.852624,38030.967648
2022-01-03 13:00:00,101.0,371.038256,37474.863855999996
2022-01-03 13:30:00,98.0,373.306216,36584.009168000004
2022-01-03 14:00:00,96.0,371.038256,35619.672576
2022-01-03 14:30:00,94.0,371.038256,34877.596064
2022-01-03 15:00:00,93.0,370.584664,34464.373752
2022-01-03 15:30:00,92.0,368.316704,33885.136768000004
2022-01-03 16:00:00,92.0,367.40952,33801.675839999996
2022-01-03 16:30:00,87.0,366.955928,31925.165736
