datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,8.0,403.243288,3225.946304
2022-01-01 00:30:00,11.0,403.243288,4435.676168
2022-01-01 01:00:00,12.0,443.159384,5317.912608
2022-01-01 01:30:00,14.0,443.612976,6210.581664
2022-01-01 02:00:00,18.0,403.243288,7258.379184
2022-01-01 02:30:00,19.0,403.69688,7670.240720000001
2022-01-01 03:00:00,18.0,469.46772,8450.418959999999
2022-01-01 03:30:00,21.0,471.282088,9896.923848
2022-01-01 04:00:00,20.0,471.282088,9425.64176
2022-01-01 04:30:00,25.0,473.550048,11838.7512
2022-01-01 05:00:00,30.0,473.550048,14206.50144
2022-01-01 05:30:00,36.0,404.604064,14565.746304
2022-01-01 06:00:00,40.0,404.150472,16166.01888
2022-01-01 06:30:00,42.0,404.150472,16974.319824
2022-01-01 07:00:00,42.0,404.150472,16974.319824
2022-01-01 07:30:00,43.0,404.150472,17378.470296
2022-01-01 08:00:00,45.0,404.150472,18186.77124
2022-01-01 08:30:00,48.0,403.69688,19377.450240000002
2022-01-01 09:00:00,53.0,404.150472,21419.975016
2022-01-01 09:30:00,59.0,403.69688,23818.11592
2022-01-01 10:00:00,61.0,403.69688,24625.509680000003
2022-01-01 10:30:00,61.0,404.150472,24653.178792
2022-01-01 11:00:00,62.0,444.973752,27588.372624
2022-01-01 11:30:00,65.0,443.612976,28834.84344
2022-01-01 12:00:00,64.0,420.933376,26939.736064
2022-01-01 12:30:00,64.0,424.562112,27171.975168
2022-01-01 13:00:00,63.0,409.139984,25775.818992
2022-01-01 13:30:00,61.0,416.851048,25427.913927999998
2022-01-01 14:00:00,61.0,410.047168,25012.877248
2022-01-01 14:30:00,60.0,429.551624,25773.09744
2022-01-01 15:00:00,59.0,426.830072,25182.974248
2022-01-01 15:30:00,59.0,426.37648,25156.212320000002
2022-01-01 16:00:00,56.0,428.64444,24004.088639999998
2022-01-01 16:30:00,56.0,440.891424,24689.919744
2022-01-01 17:00:00,55.0,441.345016,24273.975879999998
2022-01-01 17:30:00,52.0,435.901912,22666.899424
2022-01-01 18:00:00,52.0,434.994728,22619.725856
2022-01-01 18:30:00,51.0,435.901912,22230.997511999998
2022-01-01 19:00:00,51.0,436.355504,22254.130704
2022-01-01 19:30:00,51.0,437.262688,22300.397088
2022-01-01 20:00:00,49.0,433.633952,21248.063648
2022-01-01 20:30:00,49.0,432.726768,21203.611632
2022-01-01 21:00:00,48.0,427.283664,20509.615872
2022-01-01 21:30:00,46.0,428.190848,19696.779008
2022-01-01 22:00:00,44.0,459.488696,20217.502624
2022-01-01 22:30:00,43.0,459.942288,19777.518384
