datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,7.0,478.993152,3352.952064
2022-01-01 00:30:00,10.0,486.704216,4867.04216
2022-01-01 01:00:00,13.0,501.21916,6515.84908
2022-01-01 01:30:00,14.0,512.105368,7169.475152
2022-01-01 02:00:00,16.0,504.847896,8077.566336
2022-01-01 02:30:00,18.0,504.394304,9079.097472
2022-01-01 03:00:00,18.0,518.002064,9324.037152
2022-01-01 03:30:00,21.0,500.765568,10516.076927999999
2022-01-01 04:00:00,22.0,500.765568,11016.842496
2022-01-01 04:30:00,25.0,507.569448,12689.236200000001
2022-01-01 05:00:00,31.0,506.662264,15706.530184
2022-01-01 05:30:00,36.0,494.41528,17798.95008
2022-01-01 06:00:00,40.0,494.41528,19776.6112
2022-01-01 06:30:00,41.0,492.600912,20196.637392
2022-01-01 07:00:00,44.0,475.364416,20916.034304
2022-01-01 07:30:00,43.0,495.776056,21318.370408
2022-01-01 08:00:00,45.0,495.776056,22309.92252
2022-01-01 08:30:00,46.0,499.404792,22972.620432
2022-01-01 09:00:00,51.0,493.508096,25168.912896
2022-01-01 09:30:00,58.0,493.054504,28597.161232000002
2022-01-01 10:00:00,60.0,488.064992,29283.899520000003
2022-01-01 10:30:00,61.0,493.508096,30103.993856
2022-01-01 11:00:00,62.0,513.919736,31863.023631999997
2022-01-01 11:30:00,65.0,500.765568,32549.761919999997
2022-01-01 12:00:00,65.0,493.508096,32078.026240000003
2022-01-01 12:30:00,64.0,492.600912,31526.458368
2022-01-01 13:00:00,63.0,443.612976,27947.617488
2022-01-01 13:30:00,61.0,476.2716,29052.5676
2022-01-01 14:00:00,61.0,472.189272,28803.545592000002
2022-01-01 14:30:00,60.0,494.868872,29692.13232
2022-01-01 15:00:00,59.0,495.322464,29224.025376
2022-01-01 15:30:00,59.0,431.365992,25450.593528
2022-01-01 16:00:00,57.0,501.21916,28569.49212
2022-01-01 16:30:00,56.0,503.48712,28195.278720000002
2022-01-01 17:00:00,55.0,518.455656,28515.06108
2022-01-01 17:30:00,52.0,509.837408,26511.545216
2022-01-01 18:00:00,52.0,512.55896,26653.065919999997
2022-01-01 18:30:00,51.0,528.888272,26973.301872
2022-01-01 19:00:00,51.0,505.301488,25770.375888
2022-01-01 19:30:00,51.0,503.48712,25677.84312
2022-01-01 20:00:00,49.0,531.609824,26048.881376
2022-01-01 20:30:00,48.0,536.599336,25756.768128
2022-01-01 21:00:00,48.0,500.765568,24036.747263999998
2022-01-01 21:30:00,46.0,536.599336,24683.569456
2022-01-01 22:00:00,43.0,524.352352,22547.151136
2022-01-01 22:30:00,42.0,522.537984,21946.595328000003
2022-01-01 23:00:00,40.0,514.82692,20593.0768
2022-01-01 23:30:00,39.0,511.198184,19936.729176
2022-01-02 00:00:00,40.0,501.672752,20066.91008
2022-01-02 00:30:00,41.0,514.373328,21089.306448
2022-01-02 01:00:00,46.0,514.82692,23682.03832
2022-01-02 01:30:00,51.0,478.085968,24382.384368
2022-01-02 02:00:00,58.0,478.085968,27728.986144
2022-01-02 02:30:00,62.0,484.889848,30063.170575999997
2022-01-02 03:00:00,63.0,500.765568,31548.230784
2022-01-02 03:30:00,68.0,491.693728,33435.173504
2022-01-02 04:00:00,68.0,518.455656,35254.984608
2022-01-02 04:30:00,71.0,502.126344,35650.970424
2022-01-02 05:00:00,73.0,503.940712,36787.671976
