datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,6.0,806.0329839999999,4836.197904
2022-01-01 00:30:00,11.0,807.39376,8881.33136
2022-01-01 01:00:00,12.0,812.383272,9748.599264
2022-01-01 01:30:00,14.0,812.383272,11373.365808
2022-01-01 02:00:00,17.0,812.383272,13810.515624
2022-01-01 02:30:00,19.0,801.043472,15219.825968
2022-01-01 03:00:00,19.0,828.258992,15736.920848000002
2022-01-01 03:30:00,21.0,855.928104,17974.490184
2022-01-01 04:00:00,21.0,889.04032,18669.846719999998
2022-01-01 04:30:00,26.0,823.26948,21405.00648
2022-01-01 05:00:00,32.0,849.577816,27186.490112
2022-01-01 05:30:00,36.0,843.68112,30372.52032
2022-01-01 06:00:00,38.0,871.803824,33128.545312
2022-01-01 06:30:00,40.0,895.8442,35833.768
2022-01-01 07:00:00,40.0,891.761872,35670.47488
2022-01-01 07:30:00,42.0,880.875664,36996.777888000004
2022-01-01 08:00:00,43.0,877.246928,37721.617904
2022-01-01 08:30:00,47.0,882.23644,41465.11268
2022-01-01 09:00:00,50.0,818.2799679999999,40913.9984
2022-01-01 09:30:00,56.0,816.012008,45696.672448000005
2022-01-01 10:00:00,60.0,816.012008,48960.72048
2022-01-01 10:30:00,61.0,816.012008,49776.732488
2022-01-01 11:00:00,63.0,800.136288,50408.586144
2022-01-01 11:30:00,66.0,800.136288,52808.995008000005
2022-01-01 12:00:00,67.0,799.682696,53578.740632
2022-01-01 12:30:00,64.0,799.229104,51150.662656
2022-01-01 13:00:00,63.0,800.136288,50408.586144
2022-01-01 13:30:00,61.0,795.146776,48503.953336000006
2022-01-01 14:00:00,61.0,812.383272,49555.379592000005
2022-01-01 14:30:00,61.0,844.134712,51492.217432000005
2022-01-01 15:00:00,59.0,851.845776,50258.900784
2022-01-01 15:30:00,58.0,844.134712,48959.813296
2022-01-01 16:00:00,58.0,779.271056,45197.721248
2022-01-01 16:30:00,56.0,793.332408,44426.614848
2022-01-01 17:00:00,55.0,831.434136,45728.877479999996
2022-01-01 17:30:00,55.0,806.486576,44356.76168
2022-01-01 18:00:00,52.0,813.290456,42291.103712
2022-01-01 18:30:00,52.0,814.6512319999999,42361.864063999994
2022-01-01 19:00:00,51.0,825.53744,42102.409439999996
2022-01-01 19:30:00,51.0,838.691608,42773.272008
2022-01-01 20:00:00,51.0,804.218616,41015.149416
2022-01-01 20:30:00,49.0,805.1258,39451.1642
2022-01-01 21:00:00,47.0,895.390608,42083.358576
2022-01-01 21:30:00,46.0,894.937016,41167.102736
2022-01-01 22:00:00,43.0,961.161448,41329.942264
2022-01-01 22:30:00,42.0,960.707856,40349.729952
2022-01-01 23:00:00,40.0,868.62868,34745.1472
2022-01-01 23:30:00,39.0,845.94908,32992.01412
2022-01-02 00:00:00,40.0,781.085424,31243.41696
2022-01-02 00:30:00,44.0,781.992608,34407.674752
2022-01-02 01:00:00,47.0,786.98212,36988.15964
2022-01-02 01:30:00,51.0,786.5285279999999,40112.954928
2022-01-02 02:00:00,57.0,791.971632,45142.383024
2022-01-02 02:30:00,63.0,800.136288,50408.586144
2022-01-02 03:00:00,63.0,803.765024,50637.196512
2022-01-02 03:30:00,62.0,885.411584,54895.518207999994
2022-01-02 04:00:00,67.0,956.625528,64093.910376
2022-01-02 04:30:00,70.0,904.462448,63312.37136
2022-01-02 05:00:00,76.0,815.558416,61982.439615999996
2022-01-02 05:30:00,77.0,816.4656,62867.8512
2022-01-02 06:00:00,79.0,857.742472,67761.655288
2022-01-02 06:30:00,82.0,842.7739359999999,69107.46275199999
2022-01-02 07:00:00,84.0,878.607704,73803.04713600001
2022-01-02 07:30:00,86.0,877.246928,75443.235808
2022-01-02 08:00:00,87.0,811.476088,70598.419656
2022-01-02 08:30:00,90.0,827.351808,74461.66272000001
2022-01-02 09:00:00,89.0,824.630256,73392.09278400001
2022-01-02 09:30:00,88.0,825.083848,72607.378624
2022-01-02 10:00:00,88.0,830.980544,73126.287872
2022-01-02 10:30:00,89.0,830.5269519999999,73916.898728
2022-01-02 11:00:00,93.0,839.598792,78082.687656
2022-01-02 11:30:00,94.0,909.45196,85488.48424
2022-01-02 12:00:00,100.0,897.204976,89720.4976
2022-01-02 12:30:00,98.0,816.4656,80013.6288
2022-01-02 13:00:00,98.0,765.209704,74990.550992
2022-01-02 13:30:00,96.0,763.395336,73285.952256
2022-01-02 14:00:00,93.0,928.956416,86392.946688
2022-01-02 14:30:00,93.0,923.513312,85886.738016
2022-01-02 15:00:00,93.0,895.8442,83313.5106
2022-01-02 15:30:00,93.0,885.865176,82385.461368
2022-01-02 16:00:00,92.0,864.546352,79538.264384
2022-01-02 16:30:00,89.0,830.5269519999999,73916.898728
2022-01-02 17:00:00,88.0,847.763448,74603.183424
2022-01-02 17:30:00,86.0,840.052384,72244.505024
2022-01-02 18:00:00,86.0,862.2783919999999,74155.941712
2022-01-02 18:30:00,85.0,856.835288,72830.99948
2022-01-02 19:00:00,84.0,877.70052,73726.84368
2022-01-02 19:30:00,84.0,884.050808,74260.267872
2022-01-02 20:00:00,84.0,772.920768,64925.344511999996
2022-01-02 20:30:00,82.0,768.384848,63007.557536
2022-01-02 21:00:00,75.0,1086.35284,81476.463
2022-01-02 21:30:00,72.0,1086.35284,78217.40448
2022-01-02 22:00:00,72.0,634.575208,45689.414976
2022-01-02 22:30:00,70.0,634.575208,44420.264559999996
2022-01-02 23:00:00,67.0,730.2831199999999,48928.969039999996
2022-01-02 23:30:00,63.0,761.580968,47979.600984
2022-01-03 00:00:00,66.0,764.756112,50473.903392
2022-01-03 00:30:00,64.0,763.848928,48886.331392
2022-01-03 01:00:00,65.0,765.209704,49738.63076
2022-01-03 01:30:00,70.0,765.209704,53564.67928
2022-01-03 02:00:00,76.0,765.209704,58155.937504
2022-01-03 02:30:00,79.0,764.30252,60379.899079999996
2022-01-03 03:00:00,83.0,762.0345599999999,63248.86848
2022-01-03 03:30:00,86.0,760.220192,65378.936512
2022-01-03 04:00:00,83.0,779.271056,64679.497648000004
2022-01-03 04:30:00,82.0,839.1452,68809.9064
2022-01-03 05:00:00,86.0,931.677968,80124.30524799999
2022-01-03 05:30:00,90.0,930.770784,83769.37056000001
2022-01-03 06:00:00,94.0,866.36072,81437.90768
2022-01-03 06:30:00,95.0,835.062872,79330.97284
2022-01-03 07:00:00,103.0,754.323496,77695.320088
2022-01-03 07:30:00,101.0,767.477664,77515.244064
2022-01-03 08:00:00,101.0,708.964296,71605.393896
2022-01-03 08:30:00,101.0,765.209704,77286.180104
2022-01-03 09:00:00,104.0,773.827952,80478.10700799999
2022-01-03 09:30:00,102.0,770.199216,78560.320032
2022-01-03 10:00:00,104.0,768.83844,79959.19776
2022-01-03 10:30:00,106.0,770.199216,81641.11689599999
2022-01-03 11:00:00,107.0,792.878816,84838.033312
2022-01-03 11:30:00,105.0,792.425224,83204.64852
2022-01-03 12:00:00,104.0,791.971632,82365.049728
2022-01-03 12:30:00,102.0,785.621344,80133.37708800001
2022-01-03 13:00:00,101.0,792.878816,80080.760416
2022-01-03 13:30:00,97.0,800.136288,77613.21993600001
2022-01-03 14:00:00,96.0,787.435712,75593.828352
2022-01-03 14:30:00,94.0,794.693184,74701.159296
2022-01-03 15:00:00,93.0,784.260568,72936.232824
2022-01-03 15:30:00,92.0,780.17824,71776.39808
2022-01-03 16:00:00,92.0,781.085424,71859.859008
2022-01-03 16:30:00,87.0,763.848928,66454.856736
2022-01-03 17:00:00,85.0,767.024072,65197.046120000006
2022-01-03 17:30:00,85.0,766.116888,65119.93548
2022-01-03 18:00:00,84.0,788.796488,66258.904992
2022-01-03 18:30:00,82.0,788.342896,64644.117472
2022-01-03 19:00:00,80.0,784.71416,62777.1328
2022-01-03 19:30:00,79.0,772.013584,60989.073136000006
2022-01-03 20:00:00,77.0,813.290456,62623.365112
2022-01-03 20:30:00,74.0,815.104824,60317.756976000004
2022-01-03 21:00:00,68.0,866.814312,58943.373216
2022-01-03 21:30:00,66.0,873.1646,57628.8636
2022-01-03 22:00:00,65.0,782.4462,50859.003
2022-01-03 22:30:00,63.0,780.17824,49151.229119999996
2022-01-03 23:00:00,59.0,852.75296,50312.424640000005
2022-01-03 23:30:00,56.0,782.899792,43842.388352
2022-01-04 00:00:00,58.0,774.2815439999999,44908.329551999996
2022-01-04 00:30:00,60.0,771.559992,46293.599519999996
2022-01-04 01:00:00,64.0,772.013584,49408.869376
2022-01-04 01:30:00,68.0,772.013584,52496.923712
2022-01-04 02:00:00,69.0,769.745624,53112.448056
2022-01-04 02:30:00,72.0,769.292032,55389.026304
2022-01-04 03:00:00,75.0,764.30252,57322.689
2022-01-04 03:30:00,75.0,788.342896,59125.7172
2022-01-04 04:00:00,73.0,888.133136,64833.718928
2022-01-04 04:30:00,75.0,869.535864,65215.18979999999
2022-01-04 05:00:00,77.0,857.28888,66011.24376
2022-01-04 05:30:00,79.0,834.1556879999999,65898.299352
2022-01-04 06:00:00,84.0,814.19764,68392.60176
2022-01-04 06:30:00,83.0,791.064448,65658.34918399999
2022-01-04 07:00:00,90.0,783.806976,70542.62784
2022-01-04 07:30:00,94.0,786.5285279999999,73933.68163199999
2022-01-04 08:00:00,99.0,780.631832,77282.551368
2022-01-04 08:30:00,106.0,784.71416,83179.70096
2022-01-04 09:00:00,106.0,806.0329839999999,85439.496304
2022-01-04 09:30:00,108.0,791.064448,85434.96038399999
2022-01-04 10:00:00,109.0,777.456688,84742.77899199999
2022-01-04 10:30:00,109.0,775.64232,84545.01288000001
2022-01-04 11:00:00,111.0,777.456688,86297.692368
2022-01-04 11:30:00,108.0,776.549504,83867.34643199999
2022-01-04 12:00:00,105.0,769.745624,80823.29052
2022-01-04 12:30:00,105.0,761.580968,79966.00164
2022-01-04 13:00:00,104.0,763.848928,79440.288512
2022-01-04 13:30:00,101.0,777.003096,78477.31269600001
2022-01-04 14:00:00,99.0,800.58988,79258.39812
2022-01-04 14:30:00,98.0,781.992608,76635.275584
2022-01-04 15:00:00,98.0,747.973208,73301.374384
2022-01-04 15:30:00,98.0,748.4268,73345.82639999999
2022-01-04 16:00:00,95.0,761.580968,72350.19196
2022-01-04 16:30:00,94.0,748.4268,70352.1192
2022-01-04 17:00:00,93.0,751.148352,69856.796736
2022-01-04 17:30:00,88.0,786.5285279999999,69214.51046399999
2022-01-04 18:00:00,85.0,794.239592,67510.36532
2022-01-04 18:30:00,84.0,794.239592,66716.125728
2022-01-04 19:00:00,84.0,800.58988,67249.54992
2022-01-04 19:30:00,82.0,800.58988,65648.37016
