datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,1.0,553.835832,553.835832
2022-01-01 00:30:00,8.0,550.660688,4405.285504
2022-01-01 01:00:00,12.0,546.57836,6558.94032
2022-01-01 01:30:00,14.0,543.403216,7607.645024
2022-01-01 02:00:00,17.0,545.671176,9276.409991999999
2022-01-01 02:30:00,18.0,545.217584,9813.916512
2022-01-01 03:00:00,20.0,542.0424399999999,10840.8488
2022-01-01 03:30:00,21.0,532.9706,11192.382599999999
2022-01-01 04:00:00,26.0,534.784968,13904.409168000002
2022-01-01 04:30:00,28.0,535.692152,14999.380255999999
2022-01-01 05:00:00,36.0,535.692152,19284.917471999997
2022-01-01 05:30:00,36.0,540.681664,19464.539903999997
2022-01-01 06:00:00,37.0,538.4137039999999,19921.307048
2022-01-01 06:30:00,42.0,537.50652,22575.27384
2022-01-01 07:00:00,43.0,536.145744,23054.266992
2022-01-01 07:30:00,42.0,537.50652,22575.27384
2022-01-01 08:00:00,44.0,539.320888,23730.119071999998
2022-01-01 08:30:00,48.0,536.145744,25734.995712000004
2022-01-01 09:00:00,54.0,535.23856,28902.88224
2022-01-01 09:30:00,58.0,534.331376,30991.219807999998
2022-01-01 10:00:00,60.0,534.784968,32087.098080000003
2022-01-01 10:30:00,61.0,537.50652,32787.89772
2022-01-01 11:00:00,63.0,539.77448,34005.79224
2022-01-01 11:30:00,63.0,544.3104,34291.555199999995
2022-01-01 12:00:00,64.0,544.3104,34835.8656
2022-01-01 12:30:00,63.0,543.856808,34262.978904
2022-01-01 13:00:00,62.0,541.588848,33578.508576
2022-01-01 13:30:00,61.0,543.403216,33147.596176
2022-01-01 14:00:00,61.0,543.856808,33175.265288
2022-01-01 14:30:00,60.0,542.496032,32549.76192
2022-01-01 15:00:00,59.0,542.496032,32007.265888
2022-01-01 15:30:00,58.0,552.021464,32017.244912000002
2022-01-01 16:00:00,56.0,550.207096,30811.597375999998
2022-01-01 16:30:00,56.0,540.228072,30252.772032
2022-01-01 17:00:00,56.0,541.135256,30303.574336
2022-01-01 17:30:00,54.0,537.052928,29000.858111999998
2022-01-01 18:00:00,52.0,537.052928,27926.752255999996
2022-01-01 18:30:00,51.0,539.77448,27528.498480000002
2022-01-01 19:00:00,51.0,540.228072,27551.631672
2022-01-01 19:30:00,51.0,538.867296,27482.232096
2022-01-01 20:00:00,50.0,537.960112,26898.0056
2022-01-01 20:30:00,49.0,545.671176,26737.887624
2022-01-01 21:00:00,47.0,547.485544,25731.820568
2022-01-01 21:30:00,46.0,548.392728,25226.065488
2022-01-01 22:00:00,44.0,545.671176,24009.531743999996
2022-01-01 22:30:00,42.0,552.021464,23184.901488000003
2022-01-01 23:00:00,40.0,555.6502,22226.008
2022-01-01 23:30:00,39.0,550.660688,21475.766832
2022-01-02 00:00:00,40.0,544.3104,21772.415999999997
2022-01-02 00:30:00,41.0,546.57836,22409.71276
2022-01-02 01:00:00,47.0,546.57836,25689.18292
2022-01-02 01:30:00,51.0,542.0424399999999,27644.164439999997
2022-01-02 02:00:00,54.0,542.949624,29319.279695999998
2022-01-02 02:30:00,59.0,542.0424399999999,31980.50396
2022-01-02 03:00:00,64.0,538.4137039999999,34458.477055999996
2022-01-02 03:30:00,70.0,532.517008,37276.19056
2022-01-02 04:00:00,73.0,529.341864,38641.956072
2022-01-02 04:30:00,74.0,535.23856,39607.65344
2022-01-02 05:00:00,76.0,536.599336,40781.549536
2022-01-02 05:30:00,78.0,537.50652,41925.50856
2022-01-02 06:00:00,80.0,538.4137039999999,43073.09632
2022-01-02 06:30:00,83.0,537.50652,44613.04116
2022-01-02 07:00:00,87.0,533.424192,46407.90470399999
2022-01-02 07:30:00,86.0,535.23856,46030.51616
2022-01-02 08:00:00,91.0,536.599336,48830.539576
2022-01-02 08:30:00,91.0,535.23856,48706.70896
2022-01-02 09:00:00,91.0,531.156232,48335.217112000006
2022-01-02 09:30:00,91.0,528.43468,48087.55587999999
2022-01-02 10:00:00,92.0,531.609824,48908.103808
2022-01-02 10:30:00,90.0,541.135256,48702.17304
2022-01-02 11:00:00,94.0,542.496032,50994.627008
2022-01-02 11:30:00,100.0,540.681664,54068.166399999995
2022-01-02 12:00:00,100.0,537.50652,53750.652
2022-01-02 12:30:00,99.0,538.867296,53347.862304
2022-01-02 13:00:00,96.0,535.692152,51426.44659199999
2022-01-02 13:30:00,96.0,530.249048,50903.908608
2022-01-02 14:00:00,94.0,529.341864,49758.135215999995
2022-01-02 14:30:00,93.0,545.671176,50747.419367999995
2022-01-02 15:00:00,93.0,549.753504,51127.075872
2022-01-02 15:30:00,93.0,544.3104,50620.86719999999
2022-01-02 16:00:00,93.0,541.588848,50367.762864
2022-01-02 16:30:00,88.0,546.57836,48098.89568
2022-01-02 17:00:00,88.0,547.031952,48138.811776
2022-01-02 17:30:00,87.0,536.145744,46644.679728
2022-01-02 18:00:00,86.0,537.960112,46264.569632
2022-01-02 18:30:00,85.0,538.4137039999999,45765.16484
2022-01-02 19:00:00,84.0,536.599336,45074.344224
2022-01-02 19:30:00,84.0,536.145744,45036.242496000006
2022-01-02 20:00:00,83.0,536.145744,44500.096752000005
2022-01-02 20:30:00,82.0,539.77448,44261.50736
2022-01-02 21:00:00,76.0,539.77448,41022.86048
2022-01-02 21:30:00,72.0,548.84632,39516.93504
2022-01-02 22:00:00,70.0,546.57836,38260.485199999996
2022-01-02 22:30:00,67.0,551.567872,36955.047424
2022-01-02 23:00:00,63.0,561.546896,35377.454448
2022-01-02 23:30:00,60.0,552.475056,33148.50336
2022-01-03 00:00:00,64.0,538.4137039999999,34458.477055999996
2022-01-03 00:30:00,61.0,538.867296,32870.905056
2022-01-03 01:00:00,63.0,543.403216,34234.402608000004
2022-01-03 01:30:00,70.0,537.052928,37593.704959999995
2022-01-03 02:00:00,76.0,537.960112,40884.968512
2022-01-03 02:30:00,76.0,537.052928,40816.022527999994
2022-01-03 03:00:00,79.0,539.320888,42606.350152
2022-01-03 03:30:00,87.0,531.609824,46250.054688000004
2022-01-03 04:00:00,84.0,528.888272,44426.614848000005
2022-01-03 04:30:00,87.0,530.70264,46171.12968
2022-01-03 05:00:00,92.0,531.609824,48908.103808
2022-01-03 05:30:00,95.0,527.073904,50072.02088
2022-01-03 06:00:00,96.0,529.341864,50816.818944
2022-01-03 06:30:00,100.0,527.981088,52798.1088
2022-01-03 07:00:00,104.0,524.805944,54579.81817599999
2022-01-03 07:30:00,101.0,533.877784,53921.656184
2022-01-03 08:00:00,101.0,533.877784,53921.656184
2022-01-03 08:30:00,102.0,533.424192,54409.267583999994
2022-01-03 09:00:00,104.0,535.692152,55711.983808
2022-01-03 09:30:00,101.0,530.70264,53600.96664
2022-01-03 10:00:00,105.0,538.867296,56581.066080000004
2022-01-03 10:30:00,106.0,544.3104,57696.9024
2022-01-03 11:00:00,107.0,542.0424399999999,57998.541079999995
2022-01-03 11:30:00,107.0,537.50652,57513.197640000006
2022-01-03 12:00:00,104.0,542.496032,56419.587328
2022-01-03 12:30:00,102.0,546.57836,55750.992719999995
2022-01-03 13:00:00,99.0,544.3104,53886.7296
2022-01-03 13:30:00,96.0,543.403216,52166.708736
2022-01-03 14:00:00,96.0,537.052928,51557.08108799999
2022-01-03 14:30:00,93.0,575.154656,53489.383008000004
2022-01-03 15:00:00,93.0,571.979512,53194.094616
2022-01-03 15:30:00,92.0,576.969024,53081.150208
2022-01-03 16:00:00,87.0,586.948048,51064.480176
2022-01-03 16:30:00,86.0,586.494456,50438.523216
2022-01-03 17:00:00,85.0,594.659112,50546.024520000006
2022-01-03 17:30:00,84.0,576.515432,48427.296288000005
2022-01-03 18:00:00,82.0,581.958536,47720.599952
2022-01-03 18:30:00,80.0,572.433104,45794.64831999999
2022-01-03 19:00:00,79.0,554.2894239999999,43788.864495999995
2022-01-03 19:30:00,78.0,550.207096,42916.153487999996
2022-01-03 20:00:00,77.0,548.84632,42261.166639999996
2022-01-03 20:30:00,74.0,539.77448,39943.31152
2022-01-03 21:00:00,69.0,542.949624,37463.524055999995
2022-01-03 21:30:00,66.0,544.3104,35924.486399999994
2022-01-03 22:00:00,65.0,554.743016,36058.29604
2022-01-03 22:30:00,62.0,585.587272,36306.410864
2022-01-03 23:00:00,57.0,587.40164,33481.89348
2022-01-03 23:30:00,56.0,584.680088,32742.084927999997
2022-01-04 00:00:00,54.0,591.93756,31964.62824
2022-01-04 00:30:00,55.0,591.93756,32556.565799999997
2022-01-04 01:00:00,59.0,577.876208,34094.696272
2022-01-04 01:30:00,61.0,585.587272,35720.823592
2022-01-04 02:00:00,65.0,583.772904,37945.23876
2022-01-04 02:30:00,66.0,580.59776,38319.45216
2022-01-04 03:00:00,70.0,588.308824,41181.617679999996
2022-01-04 03:30:00,74.0,555.196608,41084.548991999996
2022-01-04 04:00:00,75.0,554.743016,41605.7262
2022-01-04 04:30:00,75.0,553.835832,41537.687399999995
2022-01-04 05:00:00,79.0,553.835832,43753.030728
2022-01-04 05:30:00,84.0,547.031952,45950.683968000005
2022-01-04 06:00:00,83.0,538.867296,44725.985568000004
2022-01-04 06:30:00,83.0,547.031952,45403.65201600001
2022-01-04 07:00:00,91.0,553.38224,50357.783840000004
2022-01-04 07:30:00,95.0,546.124768,51881.852960000004
2022-01-04 08:00:00,98.0,546.57836,53564.67928
2022-01-04 08:30:00,106.0,542.949624,57552.660143999994
2022-01-04 09:00:00,109.0,536.599336,58489.327624
2022-01-04 09:30:00,108.0,540.228072,58344.631776
2022-01-04 10:00:00,110.0,539.320888,59325.297679999996
2022-01-04 10:30:00,106.0,560.18612,59379.72872
2022-01-04 11:00:00,110.0,552.475056,60772.25616
2022-01-04 11:30:00,107.0,550.660688,58920.693616000004
2022-01-04 12:00:00,106.0,570.618736,60485.586016
2022-01-04 12:30:00,104.0,566.99,58966.96
2022-01-04 13:00:00,102.0,576.515432,58804.574064
2022-01-04 13:30:00,99.0,573.340288,56760.688512
