datetime,active_jobs,ci,emissions
2022-01-01 00:00:00,0.0,663.151504,0.0
2022-01-01 00:30:00,9.0,650.450928,5854.058352
2022-01-01 01:00:00,12.0,648.182968,7778.195615999999
2022-01-01 01:30:00,15.0,648.182968,9722.74452
2022-01-01 02:00:00,16.0,653.17248,10450.75968
2022-01-01 02:30:00,18.0,654.079664,11773.433952
2022-01-01 03:00:00,19.0,657.7084,12496.4596
2022-01-01 03:30:00,21.0,664.058688,13945.232447999999
2022-01-01 04:00:00,21.0,661.337136,13888.079856
2022-01-01 04:30:00,28.0,646.822192,18111.021376
2022-01-01 05:00:00,30.0,643.193456,19295.803679999997
2022-01-01 05:30:00,36.0,656.347624,23628.514464
2022-01-01 06:00:00,36.0,651.811704,23465.221343999998
2022-01-01 06:30:00,40.0,653.17248,26126.8992
2022-01-01 07:00:00,40.0,658.1619919999999,26326.479679999997
2022-01-01 07:30:00,42.0,654.986848,27509.447616
2022-01-01 08:00:00,43.0,661.337136,28437.496848
2022-01-01 08:30:00,46.0,667.687424,30713.621504
2022-01-01 09:00:00,48.0,667.687424,32048.996352
2022-01-01 09:30:00,54.0,666.326648,35981.638992
2022-01-01 10:00:00,58.0,670.4089759999999,38883.720607999996
2022-01-01 10:30:00,60.0,680.841592,40850.49552
2022-01-01 11:00:00,62.0,666.326648,41312.252176
2022-01-01 11:30:00,62.0,663.605096,41143.515952
2022-01-01 12:00:00,67.0,663.605096,44461.541432
2022-01-01 12:30:00,63.0,659.97636,41578.51068
2022-01-01 13:00:00,61.0,660.883544,40313.896184000005
2022-01-01 13:30:00,61.0,656.801216,40064.874176
2022-01-01 14:00:00,61.0,656.347624,40037.205064
2022-01-01 14:30:00,61.0,638.6575359999999,38958.109696
2022-01-01 15:00:00,60.0,627.317736,37639.064159999994
2022-01-01 15:30:00,59.0,629.132104,37118.794136000004
2022-01-01 16:00:00,58.0,629.132104,36489.662032
2022-01-01 16:30:00,56.0,621.874632,34824.979392
2022-01-01 17:00:00,56.0,618.245896,34621.770176
2022-01-01 17:30:00,55.0,635.935984,34976.479119999996
2022-01-01 18:00:00,52.0,631.400064,32832.803328
2022-01-01 18:30:00,52.0,632.307248,32879.976896
2022-01-01 19:00:00,51.0,637.29676,32502.134759999997
2022-01-01 19:30:00,51.0,647.275784,33011.064984000004
2022-01-01 20:00:00,51.0,646.822192,32987.931791999996
2022-01-01 20:30:00,49.0,637.29676,31227.54124
2022-01-01 21:00:00,48.0,639.56472,30699.10656
2022-01-01 21:30:00,47.0,642.739864,30208.773608
2022-01-01 22:00:00,46.0,639.56472,29419.97712
2022-01-01 22:30:00,43.0,640.018312,27520.787416000003
2022-01-01 23:00:00,42.0,635.935984,26709.311328
2022-01-01 23:30:00,40.0,629.585696,25183.42784
2022-01-02 00:00:00,38.0,658.1619919999999,25010.155695999998
2022-01-02 00:30:00,41.0,662.697912,27170.614392
2022-01-02 01:00:00,44.0,665.419464,29278.456415999997
2022-01-02 01:30:00,51.0,664.51228,33890.126280000004
2022-01-02 02:00:00,51.0,663.151504,33820.726704
2022-01-02 02:30:00,59.0,659.97636,38938.60524
2022-01-02 03:00:00,63.0,654.986848,41264.171424
2022-01-02 03:30:00,64.0,650.450928,41628.859392
2022-01-02 04:00:00,69.0,646.3686,44599.4334
2022-01-02 04:30:00,72.0,632.76084,45558.78048
2022-01-02 05:00:00,73.0,641.379088,46820.673424
2022-01-02 05:30:00,76.0,638.203944,48503.499744
2022-01-02 06:00:00,79.0,649.090152,51278.122008
2022-01-02 06:30:00,83.0,647.729376,53761.538208
2022-01-02 07:00:00,85.0,652.265296,55442.550160000006
2022-01-02 07:30:00,87.0,645.915008,56194.605696
2022-01-02 08:00:00,88.0,646.3686,56880.4368
2022-01-02 08:30:00,90.0,649.543744,58458.93695999999
2022-01-02 09:00:00,90.0,649.090152,58418.11368
2022-01-02 09:30:00,90.0,646.3686,58173.174
2022-01-02 10:00:00,88.0,648.182968,57040.101184
2022-01-02 10:30:00,89.0,647.729376,57647.914464
2022-01-02 11:00:00,93.0,646.822192,60154.463855999995
2022-01-02 11:30:00,97.0,629.132104,61025.814088
2022-01-02 12:00:00,101.0,623.689,62992.589
2022-01-02 12:30:00,99.0,615.977936,60981.815664
2022-01-02 13:00:00,98.0,615.524344,60321.385712
2022-01-02 13:30:00,96.0,610.08124,58567.79904
2022-01-02 14:00:00,94.0,611.442016,57475.549503999995
2022-01-02 14:30:00,93.0,609.627648,56695.371264
2022-01-02 15:00:00,93.0,610.5348319999999,56779.739376
2022-01-02 15:30:00,93.0,606.906096,56442.266928000005
